name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Allie Clark,1924,358,1021,131,267,48,4,32,149,2,5,72,70,1953,0.261508325,0.310155535,0.410381978,0.720537514
Allie Strobel,1882,105,336,29,66,10,3,1,26,2,5,29,75,1906,0.196428571,0.260273973,0.25297619,0.513250163
Alonzo Powell,1967,71,152,19,32,9,1,3,16,0,2,16,41,1991,0.210526316,0.285714286,0.342105263,0.627819549
Alphonse Dunn,1918,67,219,33,57,5,4,1,26,5,5,29,37,1943,0.260273973,0.346774194,0.333333333,0.680107527
Alphonso Gerard,1922,50,170,24,43,9,1,0,16,1,7,18,150,1948,0.252941176,0.324468085,0.317647059,0.642115144
Alta Cohen,1908,29,67,8,13,2,0,0,2,0,7,9,11,1933,0.194029851,0.289473684,0.223880597,0.513354281
Alva Williams,1889,499,1186,111,314,51,23,2,145,27,16,95,155,1918,0.264755481,0.319281811,0.351602024,0.670883835
Alvaro Espinoza,1963,942,2478,252,630,105,9,22,201,13,19,76,324,1997,0.254237288,0.276429131,0.330508475,0.606937605
Alvin Dark,1924,1828,7219,1064,2089,358,72,126,757,59,36,430,534,1960,0.28937526,0.329324095,0.4112758,0.740599895
Alvin Davis,1961,1206,4240,568,1189,220,10,160,683,7,16,685,558,1992,0.280424528,0.380507614,0.450235849,0.830743463
Amado Samuel,1939,144,368,23,79,18,0,3,25,0,4,16,82,1964,0.214673913,0.247395833,0.288043478,0.535439312
Ambrose McGann,1872,20,73,9,21,5,2,0,9,6,2,8,6,1895,0.287671233,0.358024691,0.410958904,0.768983595
Ambrose Reid,1901,429,1571,226,403,47,13,5,181,20,16,119,264,1932,0.256524507,0.30887574,0.312539784,0.621415523
Amby McConnell,1885,408,1506,202,398,30,22,3,119,72,9,107,150,1911,0.264276228,0.313081215,0.31938911,0.632470325
Ameal Brooks,1911,208,647,107,165,27,10,14,95,9,23,70,271,1947,0.255023184,0.327754533,0.392581144,0.720335677
Amed Rosario,1994,942,3507,449,958,157,46,63,366,109,36,161,729,2024,0.27316795,0.305070883,0.398061021,0.703131904
Amos Booth,1856,110,438,47,98,5,1,0,58,22,9,21,58,1882,0.223744292,0.259259259,0.239726027,0.498985287
Amos Cross,1862,117,441,62,118,16,7,1,56,19,7,45,112,1887,0.267573696,0.335390947,0.342403628,0.677794575
Amos Otis,1945,1998,7299,1092,2020,374,66,193,1007,341,93,757,1008,1984,0.27675024,0.344712016,0.42540074,0.770112756
Amos Strunk,1885,1512,4999,696,1418,213,96,15,530,185,107,573,518,1924,0.283656731,0.357322326,0.373674735,0.730997061
Anastasio Santaella,1912,74,213,26,66,15,1,1,30,7,3,25,2,1936,0.309859155,0.382352941,0.403755869,0.78610881
Anderson Hernandez,1982,240,643,69,155,25,5,4,60,10,6,55,107,2010,0.241057543,0.300859599,0.314152411,0.615012009
Anderson Machado,1980,24,68,7,15,5,1,0,6,4,1,12,32,2005,0.220588235,0.3375,0.323529412,0.661029412
Anderson Pryor,1905,295,1056,172,283,42,12,12,128,41,14,127,187,1933,0.267992424,0.3465765,0.364583333,0.711159834
Anderson Tejeda,1997,28,91,8,20,4,1,3,8,5,1,3,40,2021,0.21978022,0.244680851,0.384615385,0.629296236
Andre David,1962,38,53,5,13,2,0,1,5,0,0,7,13,1986,0.245283019,0.333333333,0.339622642,0.672955975
Andre Dawson,1953,2627,9927,1373,2774,503,98,438,1591,314,109,589,1509,1996,0.279439911,0.319798402,0.482220208,0.80201861
Andre Ethier,1983,1455,4800,641,1367,303,34,162,687,29,28,519,938,2017,0.284791667,0.354577928,0.463333333,0.817911262
Andre Lipcius,2000,13,35,3,10,1,0,1,4,0,0,3,8,2023,0.285714286,0.342105263,0.4,0.742105263
Andre Robertson,1958,254,724,80,182,32,4,5,54,4,8,26,120,1985,0.251381215,0.277333333,0.327348066,0.6046814
