name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Austin Shenton,2001,19,42,3,9,5,0,1,3,0,0,8,14,2024,0.214285714,0.34,0.404761905,0.744761905
Austin Slater,1994,634,1482,210,373,60,9,40,171,48,8,180,470,2024,0.25168691,0.332731649,0.385290148,0.718021797
Austin Walsh,1891,57,121,14,29,6,1,1,10,0,2,4,25,1914,0.239669421,0.264,0.330578512,0.594578512
Austin Wells,2000,134,424,50,97,24,1,17,68,1,2,50,101,2024,0.228773585,0.310126582,0.410377358,0.720503941
Austin Wynns,1996,239,621,66,143,24,0,13,63,2,0,35,152,2024,0.230273752,0.271341463,0.331723027,0.603064491
Avelino Canizares,1922,19,80,16,30,7,0,1,8,4,2,6,0,1945,0.375,0.418604651,0.5,0.918604651
Avisa챠l Garc챠a,1989,1104,3949,496,1038,154,17,140,524,51,32,262,1038,2024,0.262851355,0.30871527,0.416814383,0.725529653
B.J. Surhoff,1964,2313,8258,1062,2326,440,42,188,1153,141,84,640,839,2005,0.281666263,0.333333333,0.413417292,0.746750626
B.J. Upton,1982,1469,5175,723,1260,262,32,164,586,300,92,589,1561,2016,0.243478261,0.320784178,0.401545894,0.722330071
B.J. Waszgis,1977,24,45,6,10,1,0,0,4,0,0,4,10,2000,0.222222222,0.285714286,0.244444444,0.53015873
Babe Barna,1916,207,664,88,154,22,9,12,96,9,6,76,98,1943,0.231927711,0.310810811,0.346385542,0.657196353
Babe Borton,1890,317,940,139,254,31,17,4,136,21,9,160,138,1916,0.270212766,0.376363636,0.35212766,0.728491296
Babe Dahlgren,1912,1137,4045,471,1056,174,37,82,569,18,20,390,401,1946,0.261063041,0.326042841,0.383189122,0.709231963
Babe Davis,1915,73,262,47,71,13,5,3,40,5,2,23,39,1940,0.270992366,0.329824561,0.393129771,0.722954332
Babe Ellison,1893,135,348,32,75,13,4,1,39,9,10,30,55,1920,0.215517241,0.277777778,0.284482759,0.562260536
Babe Ganzel,1904,23,74,9,23,5,2,1,17,0,0,8,7,1928,0.310810811,0.37804878,0.472972973,0.851021753
Babe Herman,1910,1553,5603,882,1818,399,110,181,997,94,28,520,553,1945,0.324469034,0.381838968,0.531857933,0.913696901
Babe Martin,1925,69,206,13,44,6,2,2,18,0,1,13,27,1953,0.213592233,0.260273973,0.291262136,0.551536109
Babe Melton,1904,114,401,81,132,19,18,16,71,14,7,30,75,1929,0.329177057,0.37587007,0.586034913,0.961904982
Babe Phelps,1909,726,2117,239,657,143,19,54,345,9,23,160,157,1942,0.310344828,0.358805446,0.472366556,0.831172002
Babe Pinelli,1897,775,2617,327,723,101,33,5,298,71,87,182,162,1927,0.276270539,0.323329761,0.34581582,0.66914558
Babe Ruth,1895,2337,8038,2125,2765,484,129,705,2163,123,124,2031,1262,1935,0.343991043,0.476313437,0.699427718,1.175741156
Babe Towne,1883,14,36,3,10,0,0,0,6,0,2,7,37,1906,0.277777778,0.395348837,0.277777778,0.673126615
Babe Twombly,1897,166,358,47,109,9,2,3,32,9,15,28,30,1921,0.304469274,0.35492228,0.365921788,0.720844068
Babe Young,1918,728,2403,320,656,121,17,79,415,9,18,274,161,1948,0.272992093,0.34740381,0.436121515,0.783525325
Baby Doll Jacobson,1894,1471,5507,788,1714,328,94,83,819,86,59,355,410,1927,0.31124024,0.352951211,0.450154349,0.80310556
Bad News Hall,1920,12,42,3,8,2,0,0,4,1,5,3,38,1944,0.19047619,0.244444444,0.238095238,0.482539683
Bake McBride,1950,1071,3853,548,1153,167,55,63,430,183,63,248,457,1983,0.29924734,0.341623994,0.420192058,0.761816052
Bama Rowell,1920,574,1901,200,523,95,26,19,217,37,14,113,105,1948,0.275118359,0.315789474,0.3824303,0.698219774
Barbaro Garbey,1963,225,626,76,167,28,2,11,86,9,9,36,83,1988,0.266773163,0.306646526,0.370607029,0.677253554
Barney Brown,1920,56,150,20,38,5,3,0,18,1,5,28,2,1944,0.253333333,0.370786517,0.326666667,0.697453184
Barney Gilligan,1856,521,1865,215,386,68,23,3,167,47,23,147,235,1888,0.206970509,0.264910537,0.272922252,0.537832789
Barney Koch,1921,33,96,11,21,2,0,0,1,0,2,3,9,1944,0.21875,0.242424242,0.239583333,0.482007576
Barney McCosky,1920,1170,4172,664,1301,214,71,24,397,58,31,497,261,1953,0.311840844,0.385093168,0.41442953,0.799522698
Barney McLaughlin,1865,178,696,84,169,23,7,3,97,21,7,67,102,1890,0.242816092,0.309305374,0.308908046,0.61821342
Barney Olsen,1918,24,73,13,21,6,1,1,4,0,2,4,11,1941,0.287671233,0.324675325,0.438356164,0.763031489
Barry Bonds,1963,2986,9847,2227,2935,601,77,762,1996,514,141,2558,1539,2007,0.298060323,0.44280532,0.606885346,1.049690666
Barry Bonnell,1954,976,3068,363,833,143,24,56,355,64,39,229,387,1986,0.271512386,0.32211101,0.388526728,0.710637738
Barry Evans,1955,224,501,40,126,17,3,2,41,3,5,41,62,1982,0.251497006,0.308118081,0.309381238,0.617499319
Barry Foote,1950,687,2127,191,489,103,10,57,230,10,6,136,287,1982,0.229901269,0.276182059,0.368124118,0.644306178
Barry Larkin,1963,2180,7937,1329,2340,441,76,198,960,379,77,939,817,2004,0.294821721,0.369423164,0.444374449,0.813797612
Barry Lyons,1966,253,628,53,150,26,2,15,89,0,1,29,92,1995,0.238853503,0.272450533,0.358280255,0.630730788
Barry McCormick,1872,989,3645,433,867,110,42,15,417,130,23,280,329,1904,0.237860082,0.292229299,0.303429355,0.595658655
Barry Shetrone,1936,60,112,12,23,2,1,1,7,3,0,5,16,1963,0.205357143,0.239316239,0.267857143,0.507173382
Barry Wesson,1979,25,31,3,6,0,1,1,4,1,0,1,9,2003,0.193548387,0.21875,0.35483871,0.57358871
Bart Cantz,1865,62,217,14,34,4,1,0,18,2,7,6,89,1890,0.156682028,0.179372197,0.184331797,0.363703995
Bart Shirley,1942,75,162,15,33,4,1,0,11,0,1,14,28,1968,0.203703704,0.267045455,0.240740741,0.507786195
Bartolo Portuondo,1897,350,1335,201,331,44,13,1,110,52,16,102,224,1927,0.247940075,0.301322199,0.302621723,0.603943922
Beals Becker,1885,881,2764,367,763,114,43,45,292,129,31,241,306,1915,0.276049204,0.334109817,0.397250362,0.731360179
Beau Allred,1966,65,165,19,38,7,0,4,15,2,2,29,48,1991,0.23030303,0.345360825,0.345454545,0.69081537
Beau Bell,1912,767,2718,378,806,165,32,46,437,11,12,272,239,1941,0.296541575,0.360535117,0.431567329,0.792102446
Beau Taylor,1995,25,51,4,6,1,0,2,4,0,0,7,18,2020,0.117647059,0.224137931,0.254901961,0.479039892
Belden Hill,1867,9,30,3,5,2,0,0,2,6,2,3,37,1890,0.166666667,0.242424242,0.233333333,0.475757576
Ben Broussard,1979,705,2136,275,561,114,13,87,314,15,7,171,466,2008,0.262640449,0.317295189,0.450374532,0.76766972
Ben Caffyn,1883,29,103,16,20,4,0,0,3,2,2,12,37,1906,0.194174757,0.27826087,0.233009709,0.511270578
Ben Chapman,1910,1696,6439,1132,1944,403,107,90,966,286,137,819,552,1945,0.301910235,0.380683384,0.439664544,0.820347928
Ben Conroy,1867,117,404,45,69,13,1,0,21,17,2,45,37,1890,0.170792079,0.25389755,0.207920792,0.461818342
Ben Davis,1975,486,1512,168,358,77,2,38,204,9,8,153,385,2004,0.236772487,0.306906907,0.365740741,0.672647648
Ben Dyer,1892,94,189,26,44,10,1,0,16,4,11,15,41,1919,0.232804233,0.289215686,0.296296296,0.585511983
Ben Egan,1889,122,352,21,58,9,5,0,30,3,8,18,109,1915,0.164772727,0.205405405,0.21875,0.424155405
Ben Francisco,1984,563,1579,199,400,104,3,50,190,30,17,146,325,2013,0.253324889,0.316521739,0.417986067,0.734507806
Ben Gamel,1993,723,2046,283,516,112,15,41,204,22,15,243,571,2024,0.252199413,0.331585845,0.38172043,0.713306275
Ben Geraghty,1919,70,146,16,29,4,0,0,9,4,7,9,18,1944,0.198630137,0.24516129,0.226027397,0.471188688
Ben Grieve,1974,976,3215,471,864,192,5,118,492,24,5,466,784,2005,0.26874028,0.36131486,0.441679627,0.802994487
Ben Houser,1887,163,472,58,126,21,5,9,68,3,7,37,72,1912,0.266949153,0.320235756,0.389830508,0.710066265
Ben Huffman,1914,76,176,18,48,9,0,1,24,1,0,10,7,1937,0.272727273,0.311827957,0.340909091,0.652737048
Ben Johnson,1982,98,222,31,51,14,3,7,26,3,2,27,70,2007,0.22972973,0.313253012,0.414414414,0.727667426
Ben Koehler,1882,211,722,82,168,15,7,2,62,31,5,56,75,1906,0.232686981,0.287917738,0.281163435,0.569081173
Ben Littles,1925,17,54,4,12,2,0,0,3,0,2,1,37,1948,0.222222222,0.236363636,0.259259259,0.495622896
Ben Oglivie,1948,1754,5913,784,1615,277,33,235,901,87,70,560,852,1986,0.273127008,0.336011123,0.450363606,0.786374729
Ben Paschal,1899,365,787,143,243,47,11,24,138,24,20,72,93,1929,0.308767471,0.366705471,0.487928844,0.854634315
Ben Paulsen,1991,186,480,58,130,28,4,16,70,1,2,30,138,2016,0.270833333,0.31372549,0.445833333,0.759558824
Ben Petrick,1976,240,669,114,172,37,5,27,94,5,6,78,177,2003,0.257100149,0.334672021,0.448430493,0.783102515
Ben Revere,1987,857,3138,400,892,88,37,7,198,211,53,151,308,2017,0.284257489,0.317117665,0.342574888,0.659692553
Ben Rice,2001,50,152,20,26,6,0,7,23,0,1,20,48,2024,0.171052632,0.26744186,0.348684211,0.616126071
Ben Rortvedt,1999,183,447,41,89,15,0,8,42,1,0,51,136,2024,0.199105145,0.281124498,0.286353468,0.567477966
Ben Sanders,1868,40,156,24,39,6,4,1,19,2,2,7,12,1891,0.25,0.282208589,0.358974359,0.641182948
Ben Sankey,1906,72,169,21,36,2,5,0,14,0,7,16,14,1931,0.213017751,0.281081081,0.284023669,0.56510475
Ben Shaw,1894,23,38,5,7,1,0,0,2,0,5,2,2,1918,0.184210526,0.225,0.210526316,0.435526316
Ben Steiner,1922,82,308,41,79,8,3,3,20,10,6,31,29,1947,0.256493506,0.324483776,0.331168831,0.655652607
Ben Taylor,1920,631,2260,356,744,119,35,27,408,37,17,222,260,1955,0.32920354,0.389202256,0.448672566,0.837874823
Ben Zobrist,1983,1651,5880,884,1566,349,44,167,768,116,49,832,994,2019,0.266326531,0.35727056,0.42585034,0.7831209
Bengie Molina,1975,1362,4812,457,1317,217,6,144,711,3,7,208,471,2010,0.273690773,0.303784861,0.411055694,0.714840555
Benito Calderon,1903,106,361,31,91,18,4,1,44,2,5,28,75,1927,0.252077562,0.305912596,0.332409972,0.638322569
Benito Santiago,1963,1978,6951,755,1830,323,41,217,920,91,69,430,1270,2005,0.263271472,0.306191573,0.415192059,0.721383632
Benji Gil,1973,604,1610,158,381,75,12,32,171,24,21,102,448,2003,0.236645963,0.282126168,0.357763975,0.639890143
Bennie Tate,1902,565,1560,144,435,68,16,4,173,5,17,118,51,1934,0.278846154,0.329558999,0.350641026,0.680200024
Bennie Warren,1919,377,989,97,217,26,7,33,104,1,14,129,177,1947,0.219413549,0.309481216,0.359959555,0.669440772
Bennie Wilson,1900,92,382,60,98,9,7,0,40,13,7,24,112,1925,0.256544503,0.300492611,0.316753927,0.617246538
Benny Agbayani,1975,383,1091,145,299,57,6,39,156,16,16,139,246,2002,0.274060495,0.356097561,0.444546288,0.800643849
Benny Ayala,1953,425,865,114,217,42,1,38,145,2,4,71,136,1985,0.250867052,0.307692308,0.433526012,0.741218319
Benny Bengough,1900,411,1125,83,287,46,12,0,108,2,9,62,45,1932,0.255111111,0.294018534,0.317333333,0.611351867
Benny Bowcock,1880,14,50,7,16,3,1,1,10,1,2,3,37,1903,0.32,0.358490566,0.48,0.838490566
Benny Distefano,1965,240,360,35,82,13,5,7,42,1,1,31,66,1992,0.227777778,0.289002558,0.35,0.639002558
Benny Felder,1924,29,71,7,8,1,0,0,2,0,5,7,37,1948,0.112676056,0.192307692,0.126760563,0.319068256
Benny Kauff,1890,859,3094,521,961,169,57,49,454,234,47,367,350,1920,0.310601164,0.383704132,0.449579832,0.833283964
Benny McCoy,1915,337,1214,182,327,52,18,16,156,8,6,190,122,1941,0.269357496,0.368233618,0.381383855,0.749617473
Benny Meyer,1899,312,1041,146,276,29,17,7,84,46,7,158,117,1925,0.265129683,0.361968307,0.345821326,0.707789633
Benny Zientara,1922,278,906,106,230,29,5,2,49,5,9,50,48,1948,0.253863135,0.292887029,0.303532009,0.596419038
Bernard Gilkey,1967,1239,4061,606,1115,244,24,118,546,115,71,466,708,2001,0.274562916,0.349237906,0.433637035,0.782874941
Bernardo Baro,1898,370,1437,251,440,54,20,14,191,66,17,123,225,1929,0.306193459,0.360897436,0.400835073,0.761732509
Bernardo Brito,1970,40,73,10,16,3,0,5,12,0,1,1,27,1995,0.219178082,0.22972973,0.465753425,0.695483154
Bernell Longest,1923,47,191,28,56,8,2,0,25,5,7,16,76,1948,0.293193717,0.347826087,0.356020942,0.703847029
Bernie Allen,1939,1141,3404,357,815,140,21,73,351,13,16,370,424,1973,0.239424207,0.313990461,0.357226792,0.671217253
Bernie Carbo,1946,1010,2733,372,722,140,9,96,358,26,18,538,611,1980,0.264178558,0.385203302,0.427369191,0.812572493
Bernie Castro,1982,66,190,32,48,4,4,0,17,13,4,18,28,2006,0.252631579,0.317307692,0.315789474,0.633097166
Bernie Friberg,1897,1299,4169,544,1170,181,44,38,471,51,78,471,498,1933,0.28064284,0.353663793,0.372511394,0.726175187
Bernie Graham,1861,42,172,23,46,11,0,0,31,6,2,2,37,1884,0.26744186,0.275862069,0.331395349,0.607257418
Bernie Hungling,1905,51,137,13,33,3,2,1,15,2,2,11,25,1930,0.240875912,0.297297297,0.313868613,0.61116591
Bernie James,1908,115,237,35,61,6,3,1,20,8,7,17,26,1933,0.257383966,0.307086614,0.320675105,0.62776172
Bernie Neis,1897,680,1825,297,496,84,18,25,210,46,41,201,186,1927,0.271780822,0.344027641,0.378630137,0.722657778
Bernie Smith,1947,59,112,9,26,4,1,2,9,1,3,11,17,1971,0.232142857,0.300813008,0.339285714,0.640098722
Bernie Snyder,1912,10,32,5,11,1,0,0,3,0,0,1,2,1935,0.34375,0.363636364,0.375,0.738636364
Bernie Williams,1964,2178,8041,1389,2369,455,56,291,1272,149,89,1090,1265,2006,0.294615098,0.378819406,0.473697301,0.852516708
Bert Adams,1889,267,678,37,137,17,4,2,45,9,18,23,191,1919,0.202064897,0.228245364,0.247787611,0.476032974
Bert Blue,1885,17,42,4,12,1,2,0,2,0,2,3,37,1908,0.285714286,0.333333333,0.404761905,0.738095238
Bert Campaneris,1942,2328,8684,1181,2249,313,86,79,646,649,199,618,1142,1983,0.258982036,0.308213287,0.342123445,0.650336733
Bert Daniels,1887,526,1903,295,486,76,40,5,130,159,11,203,188,1914,0.255386232,0.327160494,0.345244351,0.672404845
Bert Griffith,1899,191,581,69,174,30,12,4,72,6,9,18,28,1924,0.299483649,0.320534224,0.413080895,0.733615119
Bert Haas,1920,721,2440,263,644,93,32,22,263,51,18,204,188,1951,0.263934426,0.320726172,0.355327869,0.676054041
Bert Johnson,1911,173,626,107,188,24,15,12,128,8,5,40,39,1938,0.300319489,0.342342342,0.444089457,0.786431799
Bert Myers,1875,160,592,66,150,14,12,0,52,11,7,56,107,1900,0.253378378,0.317901235,0.317567568,0.635468802
Bert Niehoff,1890,583,2037,210,489,104,19,12,207,71,34,131,242,1918,0.24005891,0.28597786,0.327442317,0.613420177
Bert Pena,1959,88,153,18,31,4,0,1,10,1,0,13,28,1987,0.202614379,0.265060241,0.248366013,0.513426254
Bert Tooley,1888,196,698,89,151,17,8,3,66,30,5,72,84,1912,0.216332378,0.28961039,0.276504298,0.566114688
Bert Whaling,1890,212,573,50,129,21,4,0,50,5,6,39,98,1915,0.22513089,0.274509804,0.27574171,0.550251514
Bevo Lebourveau,1902,280,788,100,217,27,11,11,69,15,17,79,125,1929,0.275380711,0.341407151,0.379441624,0.720848775
Bibb Falk,1897,1354,4652,657,1463,300,59,69,784,47,49,412,279,1931,0.314488392,0.370260664,0.448839209,0.819099872
Bid McPhee,1859,2135,8291,1678,2250,303,188,53,1067,590,41,981,603,1899,0.271378603,0.348468507,0.372452056,0.720920564
Biddy Dolan,1891,32,103,13,23,4,2,1,15,5,2,12,13,1914,0.223300971,0.304347826,0.330097087,0.634444913
Bienvenido Jimenez,1902,208,772,137,201,30,11,2,61,26,10,86,76,1929,0.260362694,0.334498834,0.335492228,0.669991062
Bienvenido Rodriguez,1925,12,33,4,8,2,0,1,6,0,2,4,37,1948,0.242424242,0.324324324,0.393939394,0.718263718
Biff Pocoroba,1952,596,1457,132,374,71,2,21,172,6,8,182,109,1984,0.256691833,0.339231239,0.351407001,0.690638239
Bill Abstein,1885,170,619,54,150,22,10,1,76,21,7,29,112,1910,0.242326333,0.276234568,0.315024233,0.591258801
Bill Akers,1906,175,475,64,124,17,9,11,69,7,8,63,64,1932,0.261052632,0.347583643,0.404210526,0.751794169
Bill Almon,1951,1236,3330,390,846,138,25,36,296,128,60,250,636,1988,0.254054054,0.306145251,0.342942943,0.649088194
Bill Anderson,1907,12,31,5,9,2,0,0,0,0,2,5,37,1930,0.290322581,0.388888889,0.35483871,0.743727599
Bill Annis,1861,27,96,17,17,2,0,0,3,6,2,0,8,1884,0.177083333,0.177083333,0.197916667,0.375
Bill Antonello,1930,40,43,9,7,1,1,1,4,0,0,2,11,1953,0.162790698,0.2,0.302325581,0.502325581
Bill Atwood,1913,342,961,82,220,41,4,7,112,4,11,93,89,1940,0.2289282,0.296963947,0.301768991,0.598732938
Bill Bagwell,1901,92,143,12,42,6,3,2,20,0,0,8,14,1925,0.293706294,0.331125828,0.41958042,0.750706247
Bill Baker,1920,263,588,45,145,25,5,2,68,6,16,68,30,1949,0.246598639,0.324695122,0.316326531,0.641021653
Bill Bankston,1892,11,36,6,5,1,1,1,2,1,2,2,5,1915,0.138888889,0.184210526,0.305555556,0.489766082
Bill Barnes,1861,8,30,2,6,1,0,0,31,6,2,0,37,1884,0.2,0.2,0.233333333,0.433333333
Bill Barrett,1899,720,2395,318,690,151,30,23,328,80,50,209,239,1930,0.288100209,0.345238095,0.405010438,0.750248534
Bill Bathe,1965,121,183,15,39,4,1,8,29,0,0,9,39,1990,0.213114754,0.25,0.37704918,0.62704918
Bill Bergen,1878,948,3028,138,516,45,21,2,193,23,25,88,417,1911,0.170409511,0.193838254,0.201122853,0.394961108
Bill Bethea,1941,10,30,4,5,1,0,0,2,0,0,4,4,1964,0.166666667,0.264705882,0.2,0.464705882
Bill Bowman,1868,15,45,2,4,1,0,0,5,0,2,5,9,1891,0.088888889,0.18,0.111111111,0.291111111
Bill Bradford,1916,144,468,44,96,12,5,1,30,11,11,40,42,1945,0.205128205,0.267716535,0.258547009,0.526263544
Bill Bradley,1879,1461,5430,754,1471,275,84,34,552,181,32,290,467,1915,0.270902394,0.307867133,0.371270718,0.679137851
Bill Brenzel,1910,76,217,16,43,9,1,0,19,2,4,8,15,1935,0.198156682,0.226666667,0.248847926,0.475514593
Bill Brubaker,1911,479,1564,208,413,85,10,22,225,13,23,151,239,1943,0.264066496,0.328862974,0.373401535,0.702264508
Bill Bruton,1930,1610,6056,937,1651,241,102,94,545,207,89,482,793,1964,0.272622193,0.326246559,0.392668428,0.718914987
Bill Buckner,1946,2517,9397,1077,2715,498,49,174,1208,183,73,450,453,1990,0.288921996,0.321417691,0.407896137,0.729313828
Bill Burgo,1920,44,158,18,47,6,2,2,12,1,5,11,4,1944,0.297468354,0.343195266,0.398734177,0.741929443
Bill Burich,1922,27,81,4,23,1,0,0,7,2,5,6,13,1946,0.283950617,0.333333333,0.296296296,0.62962963
Bill Butler,1861,9,31,7,7,3,2,0,31,6,2,1,37,1884,0.225806452,0.25,0.451612903,0.701612903
Bill Byers,1881,19,60,3,13,0,0,0,4,0,2,1,37,1904,0.216666667,0.229508197,0.216666667,0.446174863
Bill Carrigan,1884,712,1970,194,506,67,14,6,235,37,23,206,283,1916,0.256852792,0.327205882,0.314213198,0.64141908
Bill Carter,1912,51,199,26,64,10,1,0,24,3,9,4,150,1938,0.32160804,0.334975369,0.381909548,0.716884917
Bill Cash,1920,278,928,136,251,36,17,8,130,5,9,107,7,1948,0.270474138,0.34589372,0.371767241,0.717660961
Bill Charter,1921,40,143,21,32,5,0,3,16,1,7,7,76,1946,0.223776224,0.26,0.321678322,0.581678322
Bill Cissell,1907,956,3707,516,990,173,43,29,423,113,65,212,250,1938,0.267062315,0.306710896,0.360399245,0.66711014
Bill Clancy,1882,56,227,23,52,11,3,2,34,3,2,4,37,1905,0.22907489,0.242424242,0.330396476,0.572820718
Bill Collins,1884,234,785,91,175,11,10,3,55,43,18,55,150,1914,0.222929936,0.273809524,0.27388535,0.547694874
Bill Conroy,1915,187,512,51,98,15,5,5,35,3,0,81,94,1944,0.19140625,0.301854975,0.26953125,0.571386225
Bill Cooper,1917,186,584,101,161,25,3,7,77,9,6,59,88,1946,0.275684932,0.34214619,0.364726027,0.706872217
Bill Coughlin,1877,1051,3854,481,972,133,39,15,380,159,21,203,336,1908,0.252205501,0.289622874,0.318629995,0.608252869
Bill Craver,1853,113,484,57,118,9,2,0,51,11,5,7,18,1877,0.243801653,0.254582485,0.270661157,0.525243642
Bill Cronin,1905,127,296,28,68,15,2,0,27,0,9,12,13,1931,0.22972973,0.25974026,0.293918919,0.553659179
Bill Crowley,1856,512,2020,259,537,83,22,8,222,39,16,101,178,1885,0.265841584,0.300801509,0.340594059,0.641395568
Bill Cunningham,1895,442,1377,155,360,55,18,13,171,33,20,86,160,1924,0.261437908,0.304853042,0.355846042,0.660699084
Bill Dahlen,1868,2445,9031,1589,2458,413,163,84,1233,547,48,1064,755,1911,0.272173624,0.348885587,0.381906766,0.730792353
Bill Davidson,1886,226,808,83,190,16,11,1,60,46,7,41,112,1911,0.235148515,0.272084806,0.285891089,0.557975895
Bill Davis,1944,64,105,3,19,3,0,1,5,0,0,14,28,1969,0.180952381,0.277310924,0.238095238,0.515406162
Bill Deitrick,1904,57,106,14,21,6,0,0,7,1,5,17,10,1928,0.198113208,0.308943089,0.254716981,0.563660071
Bill Delaney,1867,36,116,16,22,1,1,1,7,5,2,21,19,1890,0.189655172,0.313868613,0.24137931,0.555247923
Bill Dickey,1907,1789,6300,930,1969,343,72,202,1209,36,29,678,289,1946,0.312539683,0.379335053,0.486031746,0.865366799
Bill Donovan,1875,39,103,11,17,2,2,2,8,2,2,4,37,1898,0.165048544,0.196261682,0.281553398,0.47781508
Bill Doran,1958,1456,5133,727,1367,220,39,84,497,209,93,710,600,1993,0.266315995,0.355468081,0.373465809,0.728933891
Bill Dreesen,1908,48,180,38,40,10,4,1,10,1,2,23,23,1931,0.222222222,0.310344828,0.338888889,0.649233716
Bill Drescher,1921,57,139,10,37,4,1,0,16,0,2,8,5,1946,0.26618705,0.306122449,0.309352518,0.615474967
Bill Dugan,1861,12,34,4,3,1,0,0,31,6,2,0,37,1884,0.088235294,0.088235294,0.117647059,0.205882353
Bill Dunlap,1906,26,58,9,14,1,1,1,4,0,5,4,10,1930,0.24137931,0.290322581,0.344827586,0.635150167
Bill Eagan,1873,108,382,66,90,13,7,4,50,26,7,57,96,1898,0.235602094,0.334851936,0.337696335,0.672548271
Bill Evans,1909,164,596,96,153,30,2,1,47,13,14,36,151,1937,0.256711409,0.299050633,0.318791946,0.617842579
Bill Everitt,1872,698,2842,535,902,85,43,11,341,186,16,212,272,1901,0.317382125,0.364767518,0.389162562,0.75393008
Bill Fahey,1950,383,934,75,225,26,2,7,83,9,2,74,92,1983,0.240899358,0.296626984,0.295503212,0.592130196
Bill Finley,1863,13,44,2,8,0,0,0,5,2,2,1,8,1886,0.181818182,0.2,0.181818182,0.381818182
Bill Fouser,1853,21,89,11,12,0,1,0,2,6,2,0,0,1876,0.134831461,0.134831461,0.157303371,0.292134831
Bill Fox,1877,47,173,13,32,2,1,0,7,9,5,5,75,1901,0.184971098,0.207865169,0.208092486,0.415957654
Bill Francis,1900,90,287,44,51,3,1,0,17,4,7,53,112,1925,0.177700348,0.305882353,0.195121951,0.501004304
Bill Freehan,1939,1774,6073,706,1591,241,35,200,758,24,21,626,753,1976,0.261979252,0.330944917,0.411987486,0.742932403
Bill Friel,1878,283,994,123,244,33,17,6,80,23,7,60,112,1903,0.245472837,0.288425047,0.330985915,0.619410963
Bill Gallagher,1860,18,69,10,10,3,1,0,0,6,2,3,4,1883,0.144927536,0.180555556,0.217391304,0.39794686
Bill Gannon,1878,15,61,2,9,0,0,0,0,5,2,1,37,1901,0.147540984,0.161290323,0.147540984,0.308831306
Bill George,1865,17,71,9,17,1,0,1,9,3,5,1,6,1889,0.23943662,0.25,0.295774648,0.545774648
Bill Gleason,1859,798,3395,613,907,111,35,7,360,92,18,177,263,1889,0.267157585,0.303471445,0.326656848,0.630128293
Bill Glynn,1928,310,684,94,170,22,4,10,56,5,7,61,105,1954,0.248538012,0.310067114,0.33625731,0.646324424
Bill Goodenough,1870,10,31,4,5,1,0,0,2,2,2,3,4,1893,0.161290323,0.235294118,0.193548387,0.428842505
Bill Greenwood,1862,574,2170,381,490,56,26,8,216,205,14,201,258,1890,0.225806452,0.291438212,0.286635945,0.578074156
Bill Grey,1871,292,1033,126,250,44,14,1,141,23,11,71,69,1898,0.242013553,0.29076087,0.314617619,0.605378488
Bill Haeffner,1903,60,180,8,35,4,1,0,14,1,6,8,15,1928,0.194444444,0.228723404,0.227777778,0.456501182
Bill Hague,1853,239,1016,110,246,21,2,2,92,22,9,17,81,1879,0.242125984,0.254598258,0.272637795,0.527236053
Bill Hall,1976,1111,3460,465,860,216,21,126,455,62,40,301,985,2012,0.248554913,0.308694496,0.432369942,0.741064438
Bill Hallman,1869,1822,7159,1087,1903,277,94,24,855,247,41,545,619,1907,0.265819248,0.317757009,0.340829725,0.658586734
Bill Harris,1910,34,71,6,12,1,0,0,4,0,14,7,187,1937,0.169014085,0.243589744,0.183098592,0.426688335
Bill Hart,1920,95,270,35,56,10,4,3,32,8,7,24,30,1945,0.207407407,0.272108844,0.307407407,0.579516251
Bill Harvey,1918,89,209,21,49,12,4,3,15,3,14,23,150,1946,0.234449761,0.310344828,0.373205742,0.683550569
Bill Haselman,1968,589,1606,185,416,94,3,47,210,9,9,114,300,2003,0.259028643,0.308139535,0.409090909,0.717230444
Bill Hassamaer,1871,256,1054,163,305,58,23,7,178,25,7,84,44,1896,0.289373814,0.341827768,0.407969639,0.749797407
Bill Hawes,1860,117,504,99,128,10,7,4,40,11,5,7,50,1884,0.253968254,0.264187867,0.325396825,0.589584692
Bill Heath,1943,112,199,13,47,6,1,0,13,1,0,26,22,1969,0.236180905,0.324444444,0.27638191,0.600826354
Bill Higgins,1866,82,316,45,76,8,2,0,40,8,5,25,40,1890,0.240506329,0.296187683,0.278481013,0.574668696
Bill Hinchman,1888,908,3043,364,793,128,69,20,369,85,35,298,361,1920,0.260598094,0.326548937,0.367729215,0.694278152
Bill Hoffer,1875,12,35,2,6,1,1,0,4,0,2,4,37,1898,0.171428571,0.256410256,0.257142857,0.513553114
Bill Holbert,1854,623,2335,182,486,41,7,0,206,66,28,58,315,1888,0.208137045,0.227329712,0.231691649,0.45902136
Bill Holden,1890,79,246,20,52,6,3,0,21,2,6,27,36,1914,0.211382114,0.289377289,0.260162602,0.549539891
Bill Hoskins,1914,394,1439,271,468,66,41,38,289,30,9,139,91,1946,0.325225851,0.384664132,0.507296734,0.891960866
Bill Howerton,1926,247,650,95,178,39,12,22,106,1,6,92,125,1952,0.273846154,0.363881402,0.472307692,0.836189094
Bill Hughes,1861,18,65,8,9,1,1,0,32,11,5,3,75,1885,0.138461538,0.176470588,0.184615385,0.361085973
