name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
심재원,1953,552,1128,102,240,27,1,10,90,21,9,88,143,1991,0.213,0.27,0.265,0.535
심재윤,1975,140,159,28,35,6,1,9,20,2,2,15,53,2001,0.22,0.287,0.44,0.728
심재학,1972,1247,3704,539,995,193,14,149,622,25,23,617,558,2008,0.269,0.373,0.449,0.822
심정수,1975,1450,5050,859,1451,232,14,328,1029,43,22,777,1073,2008,0.287,0.382,0.534,0.916
아두치,1985,196,773,151,237,52,8,35,147,39,12,73,177,2016,0.307,0.366,0.53,0.897
아수아헤,1991,49,163,34,41,5,4,2,21,4,2,26,24,2019,0.252,0.354,0.368,0.723
안경현,1970,1766,5405,639,1483,265,20,121,722,37,23,548,639,2010,0.274,0.341,0.398,0.739
안권수,1993,326,586,112,163,13,4,2,56,24,12,61,88,2023,0.278,0.346,0.324,0.67
안대환,1962,390,483,83,104,21,6,8,48,26,21,38,75,1993,0.215,0.273,0.333,0.606
안명성,1973,91,86,13,13,0,0,1,1,6,3,6,26,1997,0.151,0.207,0.186,0.393
안명호,1971,81,82,6,13,2,0,0,1,0,1,5,26,1993,0.159,0.207,0.183,0.39
안민석,1966,29,40,6,7,0,0,0,1,1,3,5,5,1989,0.175,0.267,0.175,0.442
안상준,1973,509,1189,133,283,40,7,13,111,15,5,94,240,2007,0.238,0.294,0.316,0.61
안승한,1992,92,109,10,24,4,0,0,14,1,0,5,36,2024,0.22,0.254,0.257,0.511
안언학,1962,130,269,21,53,9,0,1,21,1,0,22,62,1991,0.197,0.258,0.242,0.499
안익훈,1996,398,537,86,148,14,2,1,38,7,5,46,76,2024,0.276,0.333,0.315,0.647
안재만,1974,584,1365,174,330,74,3,40,176,53,22,136,374,2008,0.242,0.31,0.388,0.699
안재석,2002,222,499,58,113,20,3,6,36,7,0,38,136,2023,0.226,0.281,0.315,0.596
안정광,1989,46,81,6,16,2,0,0,8,1,2,6,25,2015,0.198,0.253,0.222,0.475
안치용,1979,528,1226,167,314,56,5,32,169,25,5,165,313,2013,0.256,0.344,0.388,0.733
안태영,1985,53,97,15,29,8,0,2,12,1,0,8,35,2014,0.299,0.352,0.443,0.796
안희봉,1972,43,68,4,16,2,0,3,12,0,0,3,22,2001,0.235,0.268,0.397,0.665
알드리지,1979,117,414,55,98,20,1,20,73,6,2,59,139,2011,0.237,0.332,0.435,0.767
알몬테,1989,60,225,18,61,9,0,7,36,1,0,22,50,2021,0.271,0.336,0.404,0.74
알칸트라,1971,116,422,57,112,16,2,22,69,0,2,46,104,2004,0.265,0.338,0.469,0.807
알테어,1991,279,974,173,268,39,9,63,192,42,8,103,305,2021,0.275,0.344,0.528,0.872
알포드,1994,213,774,131,223,50,4,29,120,22,5,80,230,2023,0.288,0.355,0.475,0.83
얀,1966,106,330,52,89,18,0,17,62,1,1,52,88,2001,0.27,0.369,0.479,0.848
양성우,1989,406,1168,150,295,53,5,9,115,17,8,123,209,2020,0.253,0.324,0.33,0.653
양세종,1958,492,1490,166,403,64,11,27,199,36,32,114,157,1990,0.27,0.322,0.383,0.705
양승관,1959,446,1334,150,330,66,6,31,155,14,19,99,202,1990,0.247,0.299,0.376,0.675
양승학,1984,47,93,12,24,5,0,4,12,0,0,7,29,2009,0.258,0.31,0.441,0.751
양승호,1960,195,413,33,92,14,2,4,41,5,3,28,44,1986,0.223,0.272,0.295,0.568
양영동,1983,173,180,44,34,5,1,0,8,20,5,22,47,2013,0.189,0.277,0.228,0.505
양용모,1967,746,1658,210,395,71,7,21,187,83,32,159,392,2002,0.238,0.305,0.328,0.632
양우현,2000,15,37,0,3,0,0,0,1,0,0,2,11,2024,0.081,0.128,0.081,0.209
양종민,1990,150,147,24,27,5,1,1,17,1,4,11,53,2019,0.184,0.241,0.252,0.492
양준혁,1969,2135,7332,1299,2318,458,25,351,1389,193,119,1278,910,2010,0.316,0.418,0.529,0.947
양찬열,1997,113,200,37,47,6,2,3,22,3,2,27,49,2024,0.235,0.326,0.33,0.656
양현석,1977,400,795,81,191,34,3,24,114,7,7,72,163,2007,0.24,0.303,0.381,0.684
양회열,1971,204,465,48,111,11,1,0,25,2,6,37,98,1996,0.239,0.295,0.267,0.561
양후승,1961,388,450,83,101,15,3,6,32,17,18,62,103,1992,0.224,0.318,0.311,0.629
엄정대,1975,175,153,34,32,3,1,3,19,3,3,9,40,2003,0.209,0.253,0.301,0.554
엄태섭,1959,46,105,8,19,3,0,0,6,2,0,4,14,1984,0.181,0.211,0.21,0.421
엄태용,1994,56,81,4,18,5,0,0,7,1,0,2,24,2014,0.222,0.241,0.284,0.525
에레라,1972,156,628,84,206,35,2,21,83,17,12,32,81,2002,0.328,0.361,0.49,0.851
에반스,1986,256,914,151,275,50,0,51,171,2,0,130,204,2017,0.301,0.388,0.523,0.911
엔젤,1975,40,131,21,36,3,0,9,27,2,0,23,30,2004,0.275,0.383,0.504,0.887
여태구,1964,591,1495,200,376,63,17,18,148,86,33,168,201,1995,0.252,0.327,0.353,0.68
연경흠,1983,345,774,102,180,40,3,26,88,2,1,76,183,2013,0.233,0.301,0.393,0.694
염경엽,1968,896,1449,197,283,53,7,5,110,83,34,122,208,2000,0.195,0.258,0.252,0.51
예진원,1999,117,190,23,33,9,1,2,13,0,1,19,49,2024,0.174,0.249,0.263,0.512
오그레디,1992,22,80,3,10,3,0,0,8,1,0,5,40,2023,0.125,0.176,0.162,0.339
오대석,1960,723,2055,249,514,77,7,36,248,41,20,250,264,1991,0.25,0.331,0.347,0.678
오덕환,1959,198,344,23,69,7,0,0,16,4,4,21,34,1988,0.201,0.247,0.221,0.468
오리어리,1969,63,211,30,56,14,2,10,28,0,0,23,37,2004,0.265,0.338,0.493,0.83
오윤,1981,350,592,61,135,22,3,8,71,8,4,80,151,2014,0.228,0.32,0.316,0.636
오재원,1985,1571,4321,678,1152,192,33,64,521,289,89,462,933,2022,0.267,0.337,0.371,0.708
오재일,1986,1491,4498,616,1229,274,7,215,873,14,7,582,1132,2024,0.273,0.356,0.481,0.837
오재필,1982,162,233,32,49,6,1,3,21,15,5,17,95,2013,0.21,0.264,0.283,0.547
오정복,1986,425,1070,155,306,50,4,19,127,7,8,103,138,2018,0.286,0.349,0.393,0.742
오정환,1999,39,45,9,8,1,0,0,3,0,2,1,21,2021,0.178,0.196,0.2,0.396
오준혁,1992,280,542,67,127,21,4,9,59,3,7,35,144,2022,0.234,0.281,0.338,0.618
오태근,1978,214,288,42,54,13,2,1,11,27,17,27,69,2009,0.188,0.257,0.257,0.514
오현근,1985,57,54,8,10,2,0,0,5,3,2,8,13,2016,0.185,0.29,0.222,0.513
