name,birth,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP,OPS,FY,LY,AY,URL
서일권,1961,0.205,75,88,12,18,4,0,0,6,3,1,9,24,0.548,0.584,1.132,1988,1991,4,http://www.statiz.co.kr/player.php?name=%EC%84%9C%EC%9D%BC%EA%B6%8C
손길호,1967,0.146,109,164,11,24,3,1,1,16,3,6,15,18,0.438,0.493,0.931,1990,1991,2,http://www.statiz.co.kr/player.php?name=%EC%86%90%EA%B8%B8%ED%98%B8
송재박,1956,0.271,248,654,73,177,32,5,16,95,5,3,86,100,1.389,1.322,2.711,1988,1991,4,http://www.statiz.co.kr/player.php?name=%EC%86%A1%EC%9E%AC%EB%B0%95
심재원,1953,0.213,552,1128,102,240,27,1,10,90,21,9,88,143,2.31,2.439,4.749,1983,1991,9,http://www.statiz.co.kr/player.php?name=%EC%8B%AC%EC%9E%AC%EC%9B%90
안언학,1962,0.197,130,269,21,53,9,0,1,21,1,0,22,62,0.484,0.547,1.031,1985,1991,7,http://www.statiz.co.kr/player.php?name=%EC%95%88%EC%96%B8%ED%95%99
오대석,1960,0.25,723,2055,249,514,77,7,36,248,41,20,250,264,3.305,3.275,6.58,1982,1991,10,http://www.statiz.co.kr/player.php?name=%EC%98%A4%EB%8C%80%EC%84%9D
유두열,1956,0.264,738,2224,297,588,102,14,58,268,56,40,256,220,3.473,3.122,6.595,1983,1991,9,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EB%91%90%EC%97%B4
유승안,1956,0.263,787,2189,238,576,85,3,92,358,15,22,264,411,4.092,3.329,7.421,1982,1991,10,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EC%8A%B9%EC%95%88
유충돌,1967,0.189,33,53,4,10,3,0,2,6,0,0,1,20,0.817,0.417,1.234,1990,1991,2,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EC%B6%A9%EB%8F%8C
이광은,1955,0.283,922,3279,475,929,149,26,90,473,119,60,311,314,4.231,3.519,7.75,1982,1991,10,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%EA%B4%91%EC%9D%80
이복근,1962,0.21,267,448,37,94,20,2,6,45,2,5,41,124,1.947,1.777,3.724,1986,1991,6,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%EB%B3%B5%EA%B7%BC
이재성,1962,0.204,112,152,23,31,4,2,0,10,4,3,19,42,0.797,1.198,1.995,1987,1991,5,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%EC%9E%AC%EC%84%B1
차동열,1956,0.216,433,960,84,207,25,3,9,84,12,7,80,153,2.387,2.388,4.775,1982,1991,10,http://www.statiz.co.kr/player.php?name=%EC%B0%A8%EB%8F%99%EC%97%B4
최홍석,1960,0.239,312,611,42,146,22,0,8,62,2,0,40,97,1.751,1.843,3.594,1983,1991,9,http://www.statiz.co.kr/player.php?name=%EC%B5%9C%ED%99%8D%EC%84%9D
현남수,1965,0.21,112,143,19,30,4,1,0,7,4,4,9,21,0.633,0.636,1.269,1989,1991,3,http://www.statiz.co.kr/player.php?name=%ED%98%84%EB%82%A8%EC%88%98
김수길,1963,0.225,132,187,20,42,8,0,3,15,4,1,14,40,1.538,1.355,2.893,1986,1990,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%88%98%EA%B8%B8
김용운,1955,0.247,592,1484,127,367,52,4,9,160,10,11,82,129,2.739,2.646,5.385,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%A9%EC%9A%B4
김한근,1955,0.256,575,1381,153,354,68,5,26,157,17,21,144,191,3.349,3.064,6.413,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EA%B9%80%ED%95%9C%EA%B7%BC
박성훈,1967,0.196,44,56,7,11,2,0,1,4,2,1,7,15,0.572,0.539,1.111,1989,1990,2,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%84%B1%ED%9B%88
송일섭,1959,0.257,621,1512,183,389,73,4,39,163,15,14,170,227,2.94,2.707,5.647,1983,1990,8,http://www.statiz.co.kr/player.php?name=%EC%86%A1%EC%9D%BC%EC%84%AD
신언호,1955,0.242,728,2013,183,487,77,12,18,211,42,33,139,205,2.943,2.641,5.584,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EC%8B%A0%EC%96%B8%ED%98%B8
양세종,1958,0.27,492,1490,166,403,64,11,27,199,36,32,114,157,2.575,2.268,4.843,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EC%96%91%EC%84%B8%EC%A2%85
양승관,1959,0.247,446,1334,150,330,66,6,31,155,14,19,99,202,2.649,2.37,5.019,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EC%96%91%EC%8A%B9%EA%B4%80
유지홍,1962,0.248,265,513,40,127,17,0,2,41,8,9,32,69,1.371,1.447,2.818,1985,1990,6,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EC%A7%80%ED%99%8D
정구선,1956,0.25,769,2574,308,644,92,5,84,316,18,20,365,284,3.021,2.741,5.762,1983,1990,8,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EA%B5%AC%EC%84%A0
정국헌,1964,0.164,48,61,6,10,2,0,1,4,3,0,2,19,0.581,0.537,1.118,1987,1990,4,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EA%B5%AD%ED%97%8C
정영기,1956,0.24,743,1963,172,472,57,10,8,162,25,21,144,211,2.543,2.543,5.086,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EC%98%81%EA%B8%B0
정진호,1956,0.252,452,1035,110,261,43,4,6,89,25,25,103,142,2.484,2.719,5.203,1983,1990,8,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EC%A7%84%ED%98%B8
조재환,1964,0.238,218,505,47,120,12,0,1,15,4,5,53,48,1.047,1.273,2.32,1987,1990,4,http://www.statiz.co.kr/player.php?name=%EC%A1%B0%EC%9E%AC%ED%99%98
조충열,1959,0.216,569,1163,104,251,35,4,3,66,15,11,71,118,2.175,2.189,4.364,1982,1990,9,http://www.statiz.co.kr/player.php?name=%EC%A1%B0%EC%B6%A9%EC%97%B4
홍문종,1954,0.276,694,2434,338,672,121,23,43,258,161,84,281,225,2.733,2.485,5.218,1984,1990,7,http://www.statiz.co.kr/player.php?name=%ED%99%8D%EB%AC%B8%EC%A2%85
홍승규,1960,0.253,502,1199,173,303,46,5,18,98,39,36,115,167,2.481,2.479,4.96,1983,1990,8,http://www.statiz.co.kr/player.php?name=%ED%99%8D%EC%8A%B9%EA%B7%9C
황병일,1960,0.22,372,676,67,149,26,5,9,64,16,16,64,124,2.312,2.153,4.465,1983,1990,8,http://www.statiz.co.kr/player.php?name=%ED%99%A9%EB%B3%91%EC%9D%BC
곽동열,1955,0.298,42,47,7,14,3,0,1,4,0,0,1,10,0.852,0.674,1.526,1988,1989,2,http://www.statiz.co.kr/player.php?name=%EA%B3%BD%EB%8F%99%EC%97%B4
구재서,1963,0.121,247,33,61,4,1,0,0,2,10,7,2,5,0.841,0.999,1.84,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EA%B5%AC%EC%9E%AC%EC%84%9C
김경표,1960,0.235,245,413,45,97,12,4,3,36,16,8,50,68,1.593,1.866,3.459,1984,1989,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EA%B2%BD%ED%91%9C
김성수,1962,0.143,43,49,2,7,2,0,0,0,1,1,2,8,0.536,0.595,1.131,1986,1989,4,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%84%B1%EC%88%98
김용희,1955,0.27,535,1783,200,482,69,10,61,260,15,13,151,161,2.996,2.399,5.395,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%A9%ED%9D%AC
김용희,1964,0.184,66,38,27,7,0,0,0,0,14,5,4,11,0.2,0.317,0.517,1988,1989,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%A9%ED%9D%AC
김일환,1954,0.24,451,947,88,227,41,3,0,76,8,16,93,116,2.036,2.178,4.214,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9D%BC%ED%99%98
김준환,1955,0.271,670,2170,255,588,76,7,61,285,41,24,171,261,3.141,2.587,5.728,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A4%80%ED%99%98
김진우,1958,0.25,471,1453,168,363,62,5,43,173,16,13,196,241,2.16,2.036,4.196,1983,1989,7,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A7%84%EC%9A%B0
김진홍,1962,0.234,69,64,5,15,1,1,0,3,1,1,5,5,2.077,1.888,3.965,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A7%84%ED%99%8D
박종훈,1959,0.29,682,2209,281,640,94,17,32,231,71,40,213,145,2.732,2.489,5.221,1983,1989,7,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%A2%85%ED%9B%88
서정환,1955,0.267,716,2277,285,609,75,9,22,199,136,71,213,265,2.675,2.653,5.328,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EC%84%9C%EC%A0%95%ED%99%98
윤동균,1949,0.285,594,1963,263,560,98,21,38,277,41,22,287,194,3.01,2.693,5.703,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EC%9C%A4%EB%8F%99%EA%B7%A0
