name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
강진규,1968,36,51,6,6,0,0,0,6,1,0,0,2,0,10,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/94532.jpg,1991,1992,0.118,0.151,0.118,0.269
강태윤,1965,125,209,11,52,5,0,2,63,18,0,2,22,2,39,4,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93424.jpg,1993,1995,0.249,0.32,0.301,0.622
강태율,1996,65,81,3,10,2,0,3,21,10,0,1,13,1,25,4,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/65514.jpg,2016,2024,0.123,0.245,0.259,0.504
강한울,1991,847,2162,276,576,67,18,2,685,159,43,27,154,5,422,25,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64610.jpg,2014,2024,0.266,0.315,0.317,0.632
강혁,1974,428,930,99,232,45,0,18,331,115,2,7,85,5,141,27,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99210.jpg,1999,2007,0.249,0.312,0.356,0.668
강형석,1968,241,395,45,88,17,6,5,132,41,10,3,35,17,71,10,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90212.jpg,1990,1997,0.223,0.286,0.334,0.62
강효섭,1973,41,40,2,8,0,0,0,8,1,3,0,2,0,7,0,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92815.jpg,1993,1996,0.2,0.238,0.2,0.438
계기범,1970,76,159,19,37,4,1,2,49,16,4,3,6,0,40,4,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93339.jpg,1993,1997,0.233,0.261,0.308,0.569
고기성,1970,255,331,36,71,12,2,3,96,28,6,6,30,3,78,5,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93726.jpg,1993,1998,0.215,0.28,0.29,0.57
고동진,1980,820,2296,311,572,97,7,21,746,201,62,34,214,73,428,52,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74745.jpg,2004,2015,0.249,0.313,0.325,0.638
