name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
김형석,1962,1417,4866,548,1345,221,44,119,2011,656,45,45,454,20,687,127,14,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/85210.jpg,1985,1998,0.276,0.338,0.413,0.751
김형성,1976,66,89,5,15,3,0,0,18,3,0,0,7,1,23,0,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95674.jpg,1997,1998,0.169,0.229,0.202,0.431
김형철,1980,167,154,18,24,3,0,0,27,8,4,2,7,0,39,2,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73827.jpg,2003,2010,0.156,0.193,0.175,0.368
김혜성,1999,953,3433,591,1043,150,39,37,1382,386,211,37,325,17,623,45,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/67304.jpg,2017,2024,0.304,0.364,0.403,0.767
김호,1967,1170,3288,405,746,109,26,53,1066,338,131,65,381,11,701,65,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90025.jpg,1991,2002,0.227,0.307,0.324,0.631
김호근,1960,693,1570,140,375,72,10,26,545,180,9,10,124,7,264,51,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83513.jpg,1983,1993,0.239,0.295,0.347,0.642
김호은,1992,78,114,12,25,5,0,2,36,11,0,0,7,2,19,2,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66113.jpg,2020,2022,0.219,0.264,0.316,0.58
김호인,1954,64,215,23,60,16,0,6,94,24,4,2,17,1,21,4,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/87012.jpg,1982,1982,0.279,0.332,0.437,0.769
김호재,1995,286,375,37,92,16,0,1,111,27,4,1,33,5,68,7,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/64407.jpg,2018,2023,0.245,0.306,0.296,0.602
김홍기,1968,84,177,11,38,8,0,3,55,21,2,0,13,1,55,7,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/91323.jpg,1991,1993,0.215,0.268,0.311,0.579
김홍집,1969,23,31,4,4,0,0,1,7,6,0,0,3,0,7,0,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92708.jpg,1992,1994,0.129,0.206,0.226,0.432
김회성,1985,423,796,110,169,37,3,35,317,117,5,5,97,28,238,23,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79705.jpg,2009,2020,0.212,0.298,0.398,0.696
김훈,1970,241,503,61,110,21,4,4,151,26,12,11,32,4,88,12,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93612.jpg,1993,1998,0.219,0.265,0.3,0.566
김휘욱,1957,36,66,5,10,1,1,1,16,9,0,0,1,0,8,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/80036.jpg,1982,1982,0.152,0.164,0.242,0.407
나경민,1991,264,275,83,67,9,4,1,87,22,37,10,28,6,88,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66508.jpg,2016,2019,0.244,0.314,0.316,0.63
나광남,1967,104,79,20,11,3,1,0,16,7,8,5,11,2,12,1,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89477.jpg,1989,1991,0.139,0.244,0.203,0.447
나균안,1998,216,366,27,45,7,0,5,67,24,0,0,21,11,175,7,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67539.jpg,2017,2021,0.123,0.171,0.183,0.354
나바로,1987,265,1034,244,307,46,2,79,594,235,47,15,189,7,143,17,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64440.jpg,2014,2015,0.297,0.406,0.574,0.98
나성용,1988,79,134,12,33,5,0,5,53,17,0,1,9,2,56,4,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61742.jpg,2011,2017,0.246,0.294,0.396,0.689
나웅,1967,292,382,81,93,13,6,3,127,36,37,23,41,9,67,7,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89172.jpg,1989,1995,0.243,0.317,0.332,0.649
나원탁,1994,33,48,2,8,1,0,0,9,1,0,0,0,0,23,0,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/67454.jpg,2017,2021,0.167,0.167,0.188,0.354
나주환,1984,1506,3886,524,1018,183,12,89,1492,496,83,58,288,57,792,95,17,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73209.jpg,2003,2021,0.262,0.313,0.384,0.697
나지완,1985,1473,4561,668,1265,201,8,221,2145,862,35,20,666,181,1115,108,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78629.jpg,2008,2022,0.277,0.369,0.47,0.84
남기헌,1977,79,114,16,25,6,1,0,33,10,1,0,11,8,23,2,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70427.jpg,2000,2001,0.219,0.288,0.289,0.577
남태혁,1991,113,223,16,50,6,0,4,68,29,1,0,18,2,73,9,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66052.jpg,2016,2021,0.224,0.282,0.305,0.587
노수광,1990,770,2348,378,631,100,23,28,861,220,123,40,237,29,536,15,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/63704.jpg,2014,2023,0.269,0.336,0.367,0.702
노진혁,1989,987,2780,361,731,166,12,77,1152,395,15,15,288,21,698,46,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62931.jpg,2013,2024,0.263,0.332,0.414,0.747
노찬엽,1965,884,2788,368,778,121,38,43,1104,380,59,58,328,25,258,76,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89175.jpg,1989,1997,0.279,0.355,0.396,0.751
노태형,1995,73,145,20,27,5,1,0,34,7,0,1,13,3,46,0,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64704.jpg,2020,2021,0.186,0.253,0.234,0.488
뉴선,1964,35,115,15,24,5,0,7,50,17,3,1,17,0,38,3,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72654.jpg,2002,2002,0.209,0.311,0.435,0.745
니일,1965,17,57,7,11,4,0,1,18,3,0,0,10,1,15,2,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71299.jpg,2001,2001,0.193,0.313,0.316,0.629
대니돈,1984,149,467,70,130,35,1,17,218,72,1,0,77,5,88,11,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66306.jpg,2016,2017,0.278,0.381,0.467,0.847
대톨라,1967,101,265,33,74,12,1,9,115,42,0,0,26,4,49,6,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99145.jpg,1999,1999,0.279,0.344,0.434,0.778
댄블랙,1987,54,198,25,66,10,1,12,114,32,0,0,25,2,52,4,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65052.jpg,2015,2015,0.333,0.408,0.576,0.984
데이비스,1969,836,3130,538,979,175,6,167,1667,591,108,57,353,25,606,80,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99725.jpg,1999,2006,0.313,0.382,0.533,0.915
도슨,1995,152,611,106,203,45,4,14,298,86,11,4,57,15,95,13,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/53327.jpg,2023,2024,0.332,0.389,0.488,0.877
도이석,1961,72,36,15,5,3,0,0,8,6,2,1,6,0,7,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/85701.jpg,1986,1987,0.139,0.262,0.222,0.484
동봉철,1970,750,2205,387,583,92,22,34,821,210,116,63,315,72,326,31,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92411.jpg,1992,1999,0.264,0.356,0.372,0.729
디아즈,1971,182,626,81,164,38,0,29,289,89,7,5,54,15,74,20,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73848.jpg,2003,2004,0.262,0.321,0.462,0.782
디아즈,1981,62,207,37,55,15,0,15,115,39,2,1,17,2,76,11,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79725.jpg,2009,2009,0.266,0.321,0.556,0.877
라가레스,1989,49,181,24,57,9,0,6,84,32,3,1,14,1,18,4,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52806.jpg,2022,2022,0.315,0.364,0.464,0.828
라모스,1992,98,383,53,113,20,4,13,180,59,5,3,31,5,78,7,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/52025.jpg,2022,2024,0.295,0.348,0.47,0.818
라모스,1994,168,616,88,165,24,3,46,333,111,2,0,73,6,179,9,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50165.jpg,2020,2021,0.268,0.345,0.541,0.886
라이온,1971,227,896,117,253,68,3,23,396,128,10,4,62,7,136,16,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74534.jpg,2004,2005,0.282,0.329,0.442,0.771
러셀,1994,124,464,42,125,25,1,6,170,73,3,0,39,3,76,11,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50350.jpg,2020,2023,0.269,0.326,0.366,0.692
러프,1986,404,1493,267,467,105,6,86,842,350,13,8,205,37,301,49,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67450.jpg,2017,2019,0.313,0.396,0.564,0.96
렉스,1993,111,421,52,122,14,3,12,178,64,3,1,54,6,98,7,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/52547.jpg,2022,2023,0.29,0.371,0.423,0.793
로니,1984,23,79,7,22,5,0,3,36,12,0,0,11,1,14,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67134.jpg,2017,2017,0.278,0.367,0.456,0.822
로마이어,1965,315,1165,192,337,68,4,85,668,252,9,6,152,12,265,33,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99724.jpg,1999,2001,0.289,0.371,0.573,0.945
로맥,1985,626,2231,386,610,109,1,155,1186,409,22,11,345,32,555,38,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67872.jpg,2017,2021,0.273,0.371,0.532,0.902
로메로,1986,76,265,30,67,16,0,12,119,50,2,0,29,4,48,9,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65233.jpg,2015,2015,0.253,0.327,0.449,0.776
로사리오,1989,246,937,178,309,61,3,70,586,231,11,8,83,14,151,28,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66740.jpg,2016,2017,0.33,0.384,0.625,1.01
로티노,1980,79,216,30,66,18,0,2,90,22,2,0,29,1,22,7,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64302.jpg,2014,2014,0.306,0.388,0.417,0.804
로페즈,1974,22,68,6,11,0,0,3,20,8,0,0,6,1,20,2,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74430.jpg,2004,2004,0.162,0.23,0.294,0.524
로하스,1993,122,403,52,102,24,4,19,191,65,0,1,55,3,68,5,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/53211.jpg,2023,2023,0.253,0.343,0.474,0.817
루이즈,1994,27,84,10,13,4,1,1,22,6,1,0,9,0,13,5,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52112.jpg,2022,2022,0.155,0.237,0.262,0.498
류승민,2004,29,53,6,11,3,0,0,14,5,0,0,4,1,20,0,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53404.jpg,2023,2024,0.208,0.263,0.264,0.527
류승현,1997,95,228,23,61,11,2,1,79,27,3,2,16,5,42,5,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66615.jpg,2018,2022,0.268,0.316,0.346,0.662
류은재,1983,34,52,9,12,1,1,4,27,9,2,1,3,0,16,0,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76656.jpg,2006,2011,0.231,0.273,0.519,0.792
류중일,1963,1095,3293,475,874,151,23,45,1206,359,109,40,363,38,507,62,13,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/87470.jpg,1987,1999,0.265,0.338,0.366,0.705
류지현,1971,1108,4050,719,1134,193,17,64,1553,379,296,85,590,60,537,57,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/94106.jpg,1994,2004,0.28,0.372,0.383,0.755
리오스,1972,41,134,12,31,7,0,2,44,17,0,1,4,1,18,3,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72659.jpg,2003,2007,0.231,0.254,0.328,0.582
마낙길,1989,27,30,6,9,1,0,0,10,0,2,3,2,0,5,0,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62967.jpg,2013,2015,0.3,0.344,0.333,0.677
마르테,1983,206,750,137,234,48,1,42,410,163,0,0,101,3,111,31,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65005.jpg,2015,2016,0.312,0.394,0.547,0.94
마르티네스,1970,368,1374,222,380,75,5,57,636,235,77,37,152,19,216,20,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71419.jpg,2001,2003,0.277,0.349,0.463,0.812
마이로우,1976,70,208,42,48,9,1,12,95,30,0,2,52,6,74,2,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76512.jpg,2006,2006,0.231,0.385,0.457,0.841
마차도,1992,278,952,162,266,52,2,17,373,125,23,6,112,12,125,29,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50506.jpg,2020,2021,0.279,0.355,0.392,0.747
마테오,1978,34,130,18,29,3,0,5,47,20,2,1,12,4,36,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75156.jpg,2005,2005,0.223,0.289,0.362,0.65
마티니,1990,139,510,67,151,34,1,16,235,85,12,4,51,8,86,8,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52904.jpg,2022,2022,0.296,0.36,0.461,0.821
마틴,1967,107,358,45,104,16,4,9,155,52,7,0,51,6,57,7,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74125.jpg,2004,2004,0.291,0.379,0.433,0.812
마틴,1995,118,435,55,123,20,2,17,198,90,15,3,57,1,107,8,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/53955.jpg,2023,2023,0.283,0.366,0.455,0.821
마해영,1970,1501,5482,850,1609,298,20,260,2727,1003,45,32,587,119,931,157,14,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95549.jpg,1995,2008,0.294,0.362,0.497,0.859
맥스웰,1983,23,80,14,23,3,1,4,40,16,2,2,15,3,25,0,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66523.jpg,2016,2016,0.288,0.4,0.5,0.9
맥키넌,1994,72,272,28,80,13,0,4,105,36,1,0,39,1,33,6,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/54424.jpg,2024,2024,0.294,0.383,0.386,0.769
메히아,1972,30,112,9,29,3,0,3,41,13,1,4,2,1,23,3,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73747.jpg,2003,2003,0.259,0.272,0.366,0.638
모건,1980,10,33,2,9,2,0,0,11,5,1,1,4,4,8,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65733.jpg,2015,2015,0.273,0.351,0.333,0.685
모넬,1986,28,85,10,14,4,0,2,24,9,2,1,17,1,28,2,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67024.jpg,2017,2017,0.165,0.304,0.282,0.586
모상기,1987,65,116,9,19,3,0,4,34,11,1,1,14,1,49,2,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76469.jpg,2008,2015,0.164,0.254,0.293,0.547
모창민,1985,1042,2740,401,773,141,13,92,1216,439,74,38,229,11,532,74,13,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78813.jpg,2008,2021,0.282,0.337,0.444,0.781
모터,1989,10,35,4,4,0,0,1,7,3,0,0,1,0,10,0,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50300.jpg,2020,2020,0.114,0.139,0.2,0.339
문규현,1983,1025,2425,276,608,112,7,26,812,269,25,15,168,21,402,55,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72546.jpg,2002,2019,0.251,0.299,0.335,0.634
문선재,1990,358,718,115,175,33,5,21,281,93,27,15,68,8,210,6,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79113.jpg,2010,2020,0.244,0.309,0.391,0.701
문승훈,1966,109,156,19,34,3,1,4,51,19,1,0,23,2,33,3,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89675.jpg,1989,1992,0.218,0.318,0.327,0.645
문우람,1992,279,764,113,213,57,4,12,314,96,8,6,74,10,140,12,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61363.jpg,2012,2015,0.279,0.342,0.411,0.753
문희성,1973,412,908,110,224,36,2,30,354,144,14,9,72,31,175,25,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/97219.jpg,1997,2006,0.247,0.302,0.39,0.692
뮬렌,1967,14,46,5,9,0,0,1,12,3,2,0,6,1,18,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70831.jpg,2000,2000,0.196,0.288,0.261,0.549
미첼,1969,77,238,33,54,8,0,8,86,38,3,2,38,2,51,7,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70644.jpg,2000,2000,0.227,0.333,0.361,0.695
민경삼,1963,562,1072,144,233,26,10,6,297,94,53,30,84,29,124,22,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86172.jpg,1986,1992,0.217,0.274,0.277,0.551
민병헌,1987,1438,4285,751,1266,214,24,99,1825,578,187,70,388,85,720,113,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76249.jpg,2006,2021,0.295,0.354,0.426,0.78
바에르가,1968,39,120,18,33,3,2,4,52,17,0,0,6,4,12,5,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71412.jpg,2001,2001,0.275,0.31,0.433,0.743
바워스,1971,43,124,17,36,6,3,3,57,12,0,6,6,2,27,3,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99323.jpg,1999,1999,0.29,0.323,0.46,0.783
박경수,1984,2043,5608,727,1396,270,13,161,2175,719,78,44,783,122,1360,144,20,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73113.jpg,2003,2024,0.249,0.341,0.388,0.729
박경완,1972,2044,5949,913,1480,271,15,314,2723,995,75,59,974,166,1605,131,23,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92809.jpg,1991,2013,0.249,0.354,0.458,0.812
박경진,1976,202,252,23,52,4,2,1,63,21,1,0,18,7,48,5,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99544.jpg,2000,2005,0.206,0.259,0.25,0.509
박경호,1973,103,178,18,45,4,0,3,58,18,18,2,15,3,48,2,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96852.jpg,1996,1999,0.253,0.311,0.326,0.637
박계원,1970,717,1812,224,439,69,11,19,587,212,55,33,150,29,290,43,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92510.jpg,1992,2002,0.242,0.3,0.324,0.624
박계현,1992,159,393,50,105,11,0,0,116,34,17,11,28,4,69,3,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61893.jpg,2014,2015,0.267,0.316,0.295,0.611
박규대,1972,60,40,10,5,0,0,0,5,0,6,3,2,1,9,0,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96408.jpg,1991,1999,0.125,0.167,0.125,0.292
박기남,1981,764,1328,200,338,63,0,23,470,147,15,12,183,18,254,27,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74103.jpg,2004,2015,0.255,0.345,0.354,0.699
박기택,1968,94,178,11,27,2,0,6,47,15,2,2,24,3,45,7,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/91835.jpg,1991,1995,0.152,0.252,0.264,0.517
박기혁,1981,1444,3657,394,891,134,12,22,1115,337,79,46,344,24,712,104,17,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70553.jpg,2000,2018,0.244,0.309,0.305,0.614
박노민,1985,193,354,29,77,14,0,8,115,40,4,0,22,3,120,8,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74756.jpg,2004,2016,0.218,0.263,0.325,0.588
박노준,1962,1018,2921,368,765,110,27,28,1013,266,152,73,223,44,302,38,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86231.jpg,1986,1997,0.262,0.314,0.347,0.661
박대온,1995,259,364,28,77,16,1,2,101,23,0,1,13,3,102,9,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/64944.jpg,2015,2023,0.212,0.239,0.277,0.516
박민,2001,46,67,10,14,5,0,0,19,5,0,2,4,1,18,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50657.jpg,2020,2024,0.209,0.254,0.284,0.537
박병호,1970,161,319,28,59,13,2,3,85,31,2,0,14,7,73,7,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89630.jpg,1989,1996,0.185,0.219,0.266,0.486
박상국,1960,230,419,42,90,17,3,5,128,42,6,3,46,2,84,10,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/88331.jpg,1988,1992,0.215,0.292,0.305,0.598
박상민,1978,37,39,3,9,1,0,0,10,2,0,2,5,1,9,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71558.jpg,2001,2002,0.231,0.318,0.256,0.575
박상언,1997,213,371,38,81,16,2,5,116,36,2,5,32,3,96,9,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66707.jpg,2017,2024,0.218,0.28,0.313,0.593
박상현,1972,186,173,26,36,5,2,0,45,10,8,4,8,3,56,3,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/91778.jpg,1992,1998,0.208,0.243,0.26,0.503
박석민,1985,1697,5363,882,1537,271,10,269,2635,1041,23,17,857,212,1145,188,18,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74465.jpg,2004,2023,0.287,0.385,0.491,0.876
박선일,1966,289,495,42,118,20,1,7,161,44,3,6,37,5,74,10,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89730.jpg,1989,1996,0.238,0.291,0.325,0.617
박성훈,1967,44,56,7,11,2,0,1,16,4,2,1,7,0,15,3,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89131.jpg,1989,1990,0.196,0.286,0.286,0.571
박승규,2000,226,343,49,79,14,0,4,105,25,8,7,21,5,63,8,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69418.jpg,2019,2022,0.23,0.275,0.306,0.581
박승호,1958,949,2486,312,685,125,5,87,1081,432,20,18,295,51,273,53,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83431.jpg,1983,1993,0.276,0.352,0.435,0.787
박연수,1974,488,901,106,232,42,3,31,373,137,6,8,101,15,283,17,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/98130.jpg,1999,2008,0.257,0.332,0.414,0.746
박영태,1959,682,1345,170,305,40,11,2,373,106,50,24,102,19,213,26,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83530.jpg,1983,1992,0.227,0.281,0.277,0.559
박용근,1984,399,585,99,130,25,6,5,182,43,46,17,64,11,124,15,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77104.jpg,2007,2016,0.222,0.299,0.311,0.61
박용성,1958,361,922,108,238,34,4,43,409,145,12,13,94,18,158,29,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/80042.jpg,1982,1988,0.258,0.327,0.444,0.77
박용택,1979,2237,8139,1259,2504,441,44,213,3672,1192,313,90,793,74,1392,177,20,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72133.jpg,2002,2022,0.308,0.369,0.451,0.82
박유연,1998,28,36,3,9,2,0,0,11,3,0,0,1,1,12,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/67202.jpg,2017,2023,0.25,0.27,0.306,0.576
박윤,1988,56,101,6,19,2,0,0,21,4,0,0,5,1,31,1,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/77848.jpg,2011,2017,0.188,0.226,0.208,0.434
박인구,1970,70,64,11,9,2,0,0,11,1,1,0,2,0,18,2,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90869.jpg,1990,1993,0.141,0.167,0.172,0.339
박재벌,1968,394,872,118,208,35,8,5,274,72,46,21,57,51,85,16,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92612.jpg,1992,1998,0.239,0.285,0.314,0.599
박재상,1982,1087,3084,459,807,161,19,65,1201,394,135,66,361,41,597,52,13,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71857.jpg,2001,2016,0.262,0.339,0.389,0.728
박재용,1969,546,1562,167,385,74,8,23,544,195,12,5,130,25,276,32,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/91608.jpg,1994,2000,0.246,0.304,0.348,0.653
박재욱,1995,42,62,5,16,2,0,0,18,5,0,0,2,1,13,5,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64100.jpg,2016,2022,0.258,0.281,0.29,0.572
