카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
917,썸(SUM)화물복지카드(개인신용),우리카드,,,"주유: 화물자동차 유가보조금 환급 
주유: 정유 3사 주유 최대 100원 할인 
생활: 대형마트, 커피전문점, 영화관 등 생활업종 할인 
기타: 부가세 환급 지원 서비스 
유의사항: 꼭 확인하세요!"
918,현대카드M-화물차유가보조금카드,현대카드,,,"주유: 유가보조금 환급서비스
주유: 화물차 우대 주유소에서 경유 주유 시 리터당 15~95원 할인 및 정유사 포인트 적립
일반 주유소에서 경우 주유 시 리터당 5~35원 할인 및 정유사 포인트 적립
기타: 부가세 환급 지원서비스
금융서비스
적립: 국내 모든 가맹점 0..5% M포인트 적립
유의사항: 꼭 확인하세요!"
919,현대카드X-화물차유가보조금카드(S-OIL),현대카드,,,"주유: 유가보조금 환급서비스
주유: 화물차 우대 주유소에서 경유 주유 시 리터당 35~105원 할인
일반 주유소에서 경우 주유 시 리터당 5~35원 할인 및 정유사 포인트 적립
기타: 부가세 환급 지원서비스
금융서비스
할인: 모든 가맹점에서 0.2% 할인
유의사항: 꼭 확인하세요!"
920,skylife Ultra IBK카드,IBK기업은행,"10,000","10,000","생활: [skylife 서비스] skylife서비스 자동이체시 청구할인
쇼핑: [쇼핑서비스] 마트, 대형 할인점 5% 할인(이마트, 홈플러스, 롯데마트, 농협하나로클럽)
테마파크: [놀이공원] 주요 놀이공원 무료입장 또는 입장료/자유이용권 최대 50% 할인
유의사항: 꼭 확인하세요!"
921,현대카드X-화물차유가보조금카드(SK에너지),현대카드,,,"주유: 유가보조금 환급서비스
주유: 화물차 우대 주유소에서 경유 주유 시 리터당 25~100원 할인
일반 주유소에서 경우 주유 시 리터당 5~35원 할인
기타: 부가세 환급 지원서비스
금융서비스
할인: 모든 가맹점에서 0.2% 할인
유의사항: 꼭 확인하세요!"
923,LG전자-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : LG전자 렌탈요금 자동납부 1~36개월 차 월 13,000원/18,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(LG전자 렌탈요금 청구 할인 미적용 시)"
924,coway-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : coway 렌탈요금 자동납부 1~36개월 차 월 15,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(coway 렌탈요금 청구 할인 미적용 시)"
925,뉴 인터파크 롯데카드,롯데카드,"8,000","12,000","온라인쇼핑: 인터파크 10% 할인
인터파크 각종 쿠폰제공(쇼핑, 도서)
헤어: 박준뷰티랩, 박승철 헤어스투디오 할인
테마파크: 롯데월드 종합이용권 50% 할인
경주월드, 대전오월드 자유이용권 50% 할인 
경기관람: 롯데 자이언츠 20% 할인

공연/전시: 뮤지컬, 연극 등 공연 10~30% 할인
롯데시네마 영화관람료 1,500원 할인
일반음식점: 미스터피자 15% 현장 할인
T.G.I.F 상시 10% 할인
주유소: SK주유소 리터당 SK주유포인트 50원적립

유의사항: 꼭 확인하세요!"
926,SK매직-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : SK매직 렌탈요금 자동납부 1~36개월 차 월 13,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(SK매직 렌탈요금 청구 할인 미적용 시)"
927,CUCKOO-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : CUCKOO 렌탈요금 자동납부 1~36개월 차 월 13,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(CUCKOO 렌탈요금 청구 할인 미적용 시)"
928,뉴S-OIL보너스 롯데카드,롯데카드,,,"주유소: OIL주유포인트 리터당 60점 적립

헤어: 박준뷰티랩, 박승철 헤어스투디오 할인
테마파크: 롯데월드 종합이용권 50% 할인
경주월드, 대전오월드 자유이용권 50% 할인 
경기관람: 롯데 자이언츠 20% 할인

백화점: 롯데백화점  5% 할인쿠폰 제공
롯데 면세점 5~10% 할인
일반음식점: 미스터피자 15% 현장 할인
T.G.I.F 상시 10% 할인
유의사항: 꼭 확인하세요!"
929,청호나이스-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : 청호나이스 렌탈요금 자동납부 1~36개월 차 월 13,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(청호나이스 렌탈요금 청구 할인 미적용 시)"
930,현대큐밍-현대카드M Edition3,현대카드,"30,000","30,000","렌탈 : 현대큐밍 렌탈요금 자동납부 1~36개월 차 월 13,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(현대큐밍 렌탈요금 청구 할인 미적용 시)"
931,용인시민카드(신용),IBK기업은행,"5,000","7,000","대중교통: [Life in Yong-In] 버스, 지하철(용인시 경전철 포함) 3% 할인
주유: [부가서비스] 전 주유소 리터당 60원 할인
쇼핑: [부가서비스] 이마트, 홈플러스, 롯데마트, 농협하나로클럽 5% 할인
[Life in Yong-In] 쿠팡, 티몬, 위메프 20% 할인
영화: [Life in Yong-In] CGV, 롯데시네마 4천원 할인
푸드: [Life in Yong-In] 아웃백, 빕스, 블랙스미스, 토다이, TGIF, 애슐리 20% 할인
[Life in Yong-In] 불고기브라더스 20% 현장할인
카페: [Life in Yong-In] 주요 커피전문점 20% 할인
테마파크: [Play in Yong-In] 용인시 주요 놀이공원 할인 (통합 월 1회, 연 8회)
지역: 용인시 시민 복지 증진 및 자긍심 고취를 위해 공연/문화/생활시설 할인 제공
유의사항: 꼭 확인하세요!"
932,뉴하우머치 인슈포인트카드,롯데카드,"5,000","10,000","보험사: 뉴하우머치 인슈포인트 2% 적립
하우머치 자동차보험료 최고 3만원 할인
헤어: 박준뷰티랩, 박승철 헤어스투디오 할인
경기관람: 롯데 자이언츠 20% 할인

백화점: 롯데백화점  5% 할인쿠폰 제공
롯데 면세점 5~10% 할인
주유소: SK주유소 리터당 SK주유포인트 50원적립

적립: L.POINT 적립 0.1%~3%

일반음식점: 미스터피자 15% 현장 할인
T.G.I.F 상시 10% 할인
유의사항: 꼭 확인하세요!"
933,현대홈쇼핑-현대카드M Edition3(청구할인형),현대카드,"30,000","30,000","렌탈 : 현대홈쇼핑 방송 상품 렌탈요금 자동납부 1~36개월 차 월 13,000원/20,000원 청구할인
적립: 업종별 0.5~3% M포인트 적립
(현대홈쇼핑 방송 상품 렌탈요금 청구 할인 미적용 시)"
934,IBK TMON 카드,IBK기업은행,,"10,000","통신: [부가서비스] 이동통신요금 5% 청구할인
쇼핑: [부가서비스] GS25, CU, 세븐일레븐, 올리브영, 랄라블라 20% 청구할인
[티몬서비스] 티몬 15% 청구할인
카페: [부가서비스] 커피 전문점 15% 청구할인
(스타벅스, 커피빈, 카페베네, 탐앤탐스, 할리스, 엔제리너스, 투썸플레이스, 달.콤커피)
금융: 각종 수수료 면제
환전(Cash, T/C) 시 환율 70% 우대
테마파크: 주요놀이공원 할인 최대 50%
유의사항: 꼭 확인하세요!"
935,1st플래티늄 플러스카드 (포인트적립형),광주은행,"118,000","120,000","모든가맹점: 모든 가맹점에서 0.7% 적립
골프: 모든 골프장에서 건별 이용금액 10만원당 5천원 적립
영화: 모든 영화관 건별 이용금액 8천원 이상 시 3천원 적립
바우처: 바우처 6종 중 택1
프리미엄 서비스: 국내 외 겸용카드 Master Card 프리미엄서비스
유의사항: 꼭 확인하세요!"
936,신한카드 미래설계,신한카드,"15,000","20,000","금융: [신한은행] '미래설계통장' 결제계좌 연결 시 전가맹점 0.3% 마이신한포인트 적립
[신한생명] 신한생명 Smart인터넷보험 보장성 상품 5% 할인
병원/약국: 병원, 약국, 동물병원 5% 할인
주유: 4대 주유소(SK에너지, GS칼텍스, S-Oil, 현대오일뱅크) 60원/L 할인
대형마트: 이마트, 홈플러스, 롯데마트 5% 할인
교통: 버스, 지하철, 택시 5% 할인
생활: 예다함 상조 상품 할인/우대 제공
유의사항: 꼭 확인하세요!"
937,1st플래티늄 플러스카드 (아시아나형),광주은행,"128,000","130,000","아시아나항공: 1,000원당 아시아나 마일리지 1마일 적립
바우처: 바우처 6종 중 택1
프리미엄 서비스: 국내 외 겸용카드 Master Card 프리미엄서비스
유의사항: 꼭 확인하세요!"
938,신한카드 경차사랑 Life,신한카드,,,"자동차: 경차 유류세 환급 서비스
주유: 모든 주유소 및 충전소 80원/L 할인
생활: 편의점, 병원/약국, 커피전문점 10% 할인
주말 3대 마트 5% 할인
보험: 한화손해보험 다이렉트 자동차보험 할인
유의사항: 꼭 확인하세요!"
939,1st플래티늄 플러스카드 (캐시백형),광주은행,"118,000","120,000","모든가맹점: 모든 가맹점에서 0.7% 캐시백
골프: 모든 골프장에서 건별 이용금액 10만원당 5천원 캐시백
영화: 모든 영화관 건별 이용금액 8천원 이상 시 3천원 캐시백
바우처: 바우처 6종 중 택1
프리미엄 서비스: 국내 외 겸용카드 Master Card 프리미엄서비스
유의사항: 꼭 확인하세요!"
940,CHALLENGE BAG KB국민카드,KB국민카드,,"15,000","OK캐쉬백: 11번가 OK캐쉬백 11% 특별적립
OK캐쉬백: 생활밀착업종 OK캐쉬백 5% 특별적립
모든가맹점: 전 가맹점 OK캐쉬백 0.1% 기본적립
선택형: 플레이트 선택
유의사항: 꼭 확인하세요!"
941,The CJ-현대카드M Edition2,현대카드,"15,000","20,000","쇼핑: CJ오쇼핑 전 매체(CJmall/TV홈쇼핑/카달로그) 통합 5% 청구 할인
푸드: 외식 10~20% 할인
영화: CGV 3천원 청구 할인
적립: 업종별 0.5~2% M포인트 적립
월 100만원 이상 이용 시 1.5배 적립
유의사항: 꼭 확인하세요!"
942,AK KB국민카드,KB국민카드,,"12,000","백화점: AK PLAZA 청구할인 최대 10%
AK 멤버스 서비스
생활: [생활영역 청구 할인] 학원, 패밀리레스토랑,커피,미용실 5% 할인
해피포인트: [생활영역 청구 할인] 해피포인트 10% 할인
제주항공: [생활영역 청구 할인] 제주항공 10% 할인
영화: 인터파크 영화예매 1매당 3,500원 청구 할인
테마파크: 놀이공원 최대 50% 할인
유의사항: 꼭 확인하세요!"
943,신한카드 The LADY CLASSIC,신한카드,,"100,000","바우처: 매년 1회 Gift Option 선택 (포인트/요식/문화)
캐시백: 쇼핑 3%, 육아 5%, 웰빙 7% 캐시백
점심: 브런치 할인 서비스 (오전 11시~오후 2시)
푸드: 던킨도너츠 할인 서비스
롯데시네마 스위트 콤보 제공 서비스
주유: GS칼텍스 40원/L 결제일 할인
면세점: 제주 JDC 면세점 8% 결제일 할인
테마파크: 주요 놀이공원 입장권/자유이용권 할인 서비스
프리미엄: 국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
유의사항: 꼭 확인하세요!"
944,불타는청춘 베테랑 신용카드,광주은행,"10,000","12,000","모든가맹점: 모든 가맹점 0.1% 캐시백
병원/약국: [특별 캐시백 서비스] 병원/의원/요양병원/약국 10% 추가 캐시백
대형마트: [추가 캐시백 서비스] 대형마트 5% 추가 캐시백
백화점: [추가 캐시백 서비스] 백화점 5% 추가 캐시백
기타: [추가 캐시백 서비스] 슈퍼마켓 5% 추가 캐시백
주유소: [추가 캐시백 서비스] 주유 5% 추가 캐시백
생활: [추가 캐시백 서비스] 사우나 5% 추가 캐시백
유의사항: 꼭 확인하세요!"
945,신한카드 The CLASSIC-S,신한카드,"97,000","100,000","모든가맹점: 일시불, 할부 이용금액 마이신한포인트 1% 적립
전월 300만원 이상 이용 시 일시불, 할부 이용금액 0.5% 추가적립
해외: 해외 일시불, 면세점 이용금액 2% 추가 적립
적립: 분기당 1천만원 이상 이용 시 보너스 포인트 적립
공항라운지: The Lounge Members 본인+동반 1인 공항 라운지 무료 입장 서비스
프리미엄: 국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
유의사항: 꼭 확인하세요!"
946,신한카드 The CLASSIC-Lite,신한카드,,"97,000","바우처: 매년 1회 Gift Option 선택
적립: 기본적립: 일시불, 할부 이용금액의 1% 마이신한포인트 적립
특별적립: 일시불, 할부 이용금액의 2% 마이신한포인트 추가 적립 (총 3%)
주유: GS칼텍스 주유 시 40원/L 결제일 할인
카페: 스타벅스 이용 시 결제일 할인
면세점: 제주 JDC 면세점 결제일 할인
프리미엄: 국제 브랜드사 서비스 (플래티늄 등급 선택 시 제공)
유의사항: 꼭 확인하세요!"
947,멍이냥이카드,광주은행,"10,000","11,000","펫샵: [반려동물업종] 10% 캐시백 서비스
대형마트: [생활업종] 대형 할인점 5% 캐시백 서비스
온라인쇼핑: [생활업종] 온라인 쇼핑 5% 캐시백 서비스
카페: [생활업종] 카페 5% 캐시백 서비스
백화점: [생활업종] 백화점 5% 캐시백 서비스
편의점: [생활업종] 편의점 5% 캐시백 서비스
애완동물: 반려동물 사진카드 발급 서비스
유의사항: 꼭 확인하세요!"
948,여행스케치 아시아나클럽 플래티늄카드,광주은행,"45,000","48,000","아시아나항공: 아시아나 마일리지 1,000원당 최대 3마일리지 적립 서비스
공항라운지: 마스터카드 플래티늄 서비스 (MasterCard Platinum Service)
수수료우대: 환율 50% 우대
수수료우대: 해외ATM 인출수수료 면제
유의사항: 꼭 확인하세요!"
949,1st카드 (캐시백형),광주은행,"8,000","10,000","모든가맹점: 모든 가맹점 이용액 0.5% 캐시백
영화: 영화관 건당 8천원 이상 결제시 3천원 캐시백
기타: ATM 출금 수수료 면제
선택형: 선택한 2가지 업종 1.2% 캐시백
선택형: 선택한 업종 2.0% 캐시백(혜택 추가시 연회비 3천원 추가)
유의사항: 꼭 확인하세요!"
950,1st카드 (포인트 적립형),광주은행,"8,000","10,000","모든가맹점: 모든 가맹점 이용액 0.5% 적립
영화: 영화관 건당 8천원 이상 결제시 3천원 적립
기타: ATM 출금 수수료 면제
선택형: 선택한 2가지 업종 1.2% 적립
선택형: 선택한 업종 2.0% 적립(혜택 추가시 연회비 3천원 추가)
유의사항: 꼭 확인하세요!"
951,넥센타이어 우리카드,우리카드,,"10,000","렌탈 : 렌탈요금  월 최대 20,000원 할인
패밀리레스토랑: 아웃백, TGIF 10% 청구할인
카페: 스타벅스, 투썸플레이스 20% 청구할인
영화: 모든 영화관 3,000원 청구할인
테마파크: 놀이공원 50% 현장할인
유의사항: 꼭 확인하세요! "
952,SK Oil 400 우리카드,우리카드,,"10,000","주유: SK주유소 월 최대 5만원 할인 
패밀리레스토랑: 아웃백, TGIF 10% 청구할인
카페: 스타벅스, 투썸플레이스 20% 청구할인
테마파크: 놀이공원 50% 현장할인 
영화: 모든 영화관 3,000원 청구할인
유의사항: 꼭 확인하세요! "
953,마이카 우리카드,우리카드,,"12,000","자동차: 자동차금융 이용고객 월 납부금 최대 1만원 청구할인 
주유: 주유소/충전소 리터당 70원 할인 
보험: 자동차 보험 최대 2만원 청구할인
정비: 스피드메이트 엔진오일 및 차량정비 할인 
렌터카: SK렌터카 최대 70% 현장할인
생활: 영화관, 패밀리레스토랑, 커피 할인 
유의사항: 꼭 확인하세요! "
954,대전광역시 승용차요일제카드,우리카드,,"2,000","자동차: 자동차세, 정비할인서비스 제공
전 주유소 리터당 60원 할인 
교통: 대중교통요금 일 400원 할인 
대중교통상해보험 서비스 
지역: 대전시 제휴 기금 적립
기타: 해외 로밍폰, 롯데 렌터카 할인 
인터넷 오피스웨이 문구용품 할인 
통신: 이동통신요금 카드자동이체 금액의 3% 할인
생활: 전국 백화점, 할인점 무이자할부
놀이공원 50% 현장할인 
유의사항: 꼭 확인하세요! "
955,에코마일리지 New우리V카드,우리카드,"2,000","5,000","기타: 에코마일리지 프로그램 안내 
에너지 10% 이상 절약시 에코머니 적립 
금융: 주민세 납부액 에코머니 100% 적립 
교통: 버스,지하철 10% 에코머니 적립
고속버스, KTX 7% 에코머니 적립 
통신: 통신요금 3% 에코머니 적립
이동통신요금 에코머니 포인트 결제 
영화: 주요 영화관 에코머니적립
기타: 놀이공원 서비스 
무이자할부 
금융: Two-in-One 결제서비스 
할부전환 서비스 
유의사항: 꼭 확인하세요! "
957,부산광역시 승용차요일제카드,우리카드,"2,000","5,000","푸드: 전국 주요 외식업체 10% 캐시백 
통신: 이동통신요금 카드 자동이체 금액의 3% 캐시백
도서: 전국 주요 서점 서적 3% 캐시백
영화: 전국 주요 영화관 1,500원 현장할인
프리미엄: 프리미엄 투어 서비스
무이자할부: 전국 백화점, 할인점 2~3개월 무이자할부
테마파크: 전국 주요 놀이공원 자유이용권 본인50%현장 할인
지역: 부산 대중교통 건당 200원 캐시백
부산유료도로 통행료 10% 캐시백 
유의사항: 꼭 확인하세요! "
958,초록마을 롯데카드,롯데카드,"5,000","8,000","온라인쇼핑: 초록마을 전국 지점에서 결제 시 10% 청구할인
쇼핑: 롯데백화점, 면세점, 롯데ON 할인
푸드: 롯데리아, 엔제리너스, 나뚜루, TGIF 할인
테마파크: 롯데월드 종합이용권 50% 할인
OTT/영화/문화: 롯데시네마 관람료 1,500원 할인
헤어: 박준뷰티랩 20% 할인
유의사항: 꼭 확인하세요!"
959,현대카드M2 BLUEmembers Edition2,현대카드,"35,000","35,000","적립: 모든 가맹점에서 0.5~2% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: BLUEmembers 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스
유의사항: 꼭 확인하세요!"
960,큰수레비지니스내트럭건설기계카드,우리카드,"2,000","5,000","주유: SK내트럭플러스 주유 할인 
대형마트: 3대 대형마트 5% 할인 
통신: 통신비 자동이체 3% 할인 
영화: CGV/메가박스/롯데씨네마 최대 6천원 할인
리조트: 콘도 1박 무료 서비스
금융: 환율 우대 서비스
예금 대출금리 우대서비스 
비즈니스: 세무지원 서비스 
유의사항: 꼭 확인하세요! "
961,현대카드M2 RED members Edition2(구 Qmembers),현대카드,"35,000","35,000","적립: 모든 가맹점에서 0.5~2% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: Kia Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스
유의사항: 꼭 확인하세요!"
962,현대카드M BLUEmembers Edition2,현대카드,"15,000","15,000","적립: 모든 가맹점에서 0.5~2% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: BLUE Members 멤버십서비스
유의사항: 꼭 확인하세요!"
963,우체국 스마트카드,KB국민카드,,"11,000","통신: 우체국 알뜰폰 통신료 할인 서비스
금융: 우체국 우편료 10% 할인
쇼핑: 우체국 쇼핑 10% 할인
유의사항: 꼭 확인하세요!"
964,현대카드M RED MEMBERS Edition2(구 Qmembers),현대카드,"15,000","15,000","적립: 모든 가맹점에서 0.5~2% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: KIA Members 멤버십서비스
유의사항: 꼭 확인하세요!"
965,NEW화물차유류구매카드(개인신용),우리카드,,,"기타: 화물차유류구매카드란?
유가보조금 환급안내 
주유: 주유할인 서비스 
생활: 대형마트, 병/의원, 서점, 온라인교육 5% 청구할인 
푸드: 패밀리레스토랑 25% 청구할인
커피전문점 25% 청구할인 
통신: 통신요금 3% 청구할인 
OTT/영화/문화: 영화요금 최대 6천원 할인
놀이공원 최대 50% 현장할인 
무이자할부: 무이자할부 서비스
은행 거래 수수료 면제 
유의사항: 꼭 확인하세요! "
966,우체국 Biz플러스 카드,하나카드,"10,000","12,000","기타: 우체국 서비스 7% 할인
백화점: 백화점 5% 할인
온라인쇼핑: 온라인쇼핑 5% 할인 서비스
해외이용: 해외 전 가맹점 5% 할인
생활: Biz플러스 서비스 1
기타: Biz플러스 서비스 2
유의사항: 꼭 확인하세요!"
967,현대카드M3 BLUEmembers Platinum,현대카드,"70,000",,"적립: 모든 가맹점에서 1~6% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: BLUE Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스
유의사항: 꼭 확인하세요!"
968,현대카드M2 BLUEmembers Platinum (5만원),현대카드,"50,000",,"적립: 모든 가맹점에서 0.5~3% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: BLUE Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스
유의사항: 꼭 확인하세요!"
969,현대카드M2 BLUEmembers Platinum (3만원),현대카드,"30,000",,"적립: 모든 가맹점에서 0.5~3% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: BLUE Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스
유의사항: 꼭 확인하세요!"
970,현대카드M2 RED MEMBERS Platinum (5만원)(구 Qmembers),현대카드,"50,000",,"적립: 모든 가맹점에서 0.5~3% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: KIA Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스"
971,현대카드M2 RED MEMBERS Platinum (3만원)(구 Qmembers),현대카드,"30,000",,"적립: 모든 가맹점에서 0.5~3% 기본 M포인트 적립
온라인쇼핑 시 1~10% 추가 M포인트 적립 외
멤버십포인트: 일상생활, 쇼핑, 자동차구매, H-Coin, 현대카드 Gift카드 등
다양한 사용처에서 M포인트 사용
제휴/PLCC: KIA Members 멤버십서비스
프리미엄 서비스: 현대카드 플래티넘서비스"
972,캐시백 플러스 카드(온라인+해외),롯데카드,"10,000","15,000","모든가맹점: 매월 이용한 금액에 따라 최대 1% 캐시백 적립
온라인쇼핑: 온라인+해외 업종 5% 캐시백 적립
백화점: 롯데백화점 5% 현장할인 e-쿠폰, 무료 주차권 제공
테마파크: 롯데월드 본인 종합이용권 50% 현장할인
유의사항: 꼭 확인하세요!"
973,우체국 카드의정석 POINT,우리카드,"10,000","12,000","기타: 우체국 이용 시 5% 모아포인트 적립
모든가맹점: 국내 모든가맹점 0.8~5% 적립
해외직구: 해외이용금액의 1% 적립
네이버페이: 주요 간편결제 모아포인트 3% 추가적립
유의사항: 꼭 알아두세요!"
974,우체국 카드의정석 SHOPPING,우리카드,"10,000","12,000","기타: 우체국 이용 시 10% 청구할인
온라인쇼핑: 온라인쇼핑 10% 청구할인
대형마트: 오프라인 쇼핑 10% 청구할인
백화점: 오프라인 쇼핑 10% 청구할인
삼성페이: 온라인 업종 4대 PAY 결제 시 5% 추가 청구할인
주유소: 4대 주유소 주말 주유 시 리터당 60원 청구할인
카페: 스타벅스, 폴바셋 1천원 청구할인
해외직구: 해외이용금액 1% 청구할인
유의사항: 꼭 확인하세요!"
975,우체국 하나로 전자카드,우체국,,,"기타: 우체국 서비스 10% 캐시백
병원: 병의원 5% 캐시백
SKT: 통신료 5% 캐시백
일반음식점: 요식업 3% 캐시백
편의점: 편의점 3% 캐시백
호텔: 숙박업 3% 캐시백
수수료우대: 해외 수수료 면제
기타: UnionPay 퀵패스(QuickPass) 결제 가능
유의사항: 꼭 확인하세요!"
976,우체국 드림플러스 아시아나 하이브리드카드,우체국,,,"아시아나항공: 1,500원당 아시아나 항공 1마일리지 적립
소셜커머스: 쿠팡, 티몬, 위메프 5% 캐시백
대형마트: 대형마트 5% 캐시백
편의점: 편의점 5% 캐시백
카페: 카페 5% 캐시백
면세점: 면세점 5% 캐시백
기타: 우체국 서비스 이용시 5% 캐시백
영화: 영화관 5% 캐시백
주유소: SK주유소 리터당 40원 할인
해외이용: 해외 이용 시 1% 캐시백
유의사항: 꼭 읽어보세요!"
977,우체국 어디서나 하이브리드 체크카드,우체국,,,"쇼핑: 전통시장 10% 캐시백,
대형마트, 6대 홈쇼핑, 다이소 5% 캐시백
푸드: 음식점 5%포인트 적립,
파리바게트, 뚜레쥬르, 엔제리너스, 카페베네, 스타벅스, 이디야, 폴바셋 5% 포인트 적립
주유소: SK주유 L당 40원 포인트 적립,
알뜰주유 L당 100원 포인트 적립
OTT/영화/문화: 메가박스 현장구매, 홈페이지 예매시 5% 캐시백,
Yes24, 교보문고(인터넷) 5% 캐시백
기타: 우편, 택배, EMS, 우표구매, 우체국쇼핑 10% 포인트 적립
통신: 통신료(SKT, KT, LG U+) 3천원 캐시백
유의사항: 혜택내용- 체크카드, 하이브리드(소액신용)카드 선택이 가능합니다.- 하이브리드 카드란?  * 기존의 체크카드와 소액신용 기능을 결합한 카드로, 결제계좌에 잔고가 없어도 30만원까지..."
978,행복한 하이브리드 체크카드,우체국,,,"병원/약국: 병원·의원, 모든 약국 10% 캐시백
학원: 학원 10% 캐시백
대형마트: 마트 10% 캐시백
공연/전시: 문화 10% 캐시백
기타: 순수 우편서비스 12% · 우체국쇼핑 10% 캐시백
지자체 시설 무료입장 및 할인, 에코머니 적립 등
유의사항: 꼭 확인하세요!"
979,다드림 하이브리드 체크카드,우체국,,,"적립: 국내 전 가맹점 이용금액의 0.3% 우체국 포인트 적립,
우편·우체국쇼핑 이용금액의 5% 우체국 포인트 적립
통신: 우체국 알뜰폰 통신료 10% 우체국 포인트 적립
멤버십포인트: 전국 Oh! point 가맹점에서 적립 또는 사용 가능
금융: 우체국 다드림 통장 우대서비스
유의사항: 꼭 확인하세요!"
980,우체국 나눔 체크카드,우체국,,,"모든가맹점: 국내 모든 가맹점 이용금액의 0.4% 캐시백
기타: 구세군자선냄비 기부금액의 40% 캐시백
기타: 디지털자선냄비 기부금액의 30% 캐시백
유의사항: 꼭 확인하세요!"
981,우체국 국민행복 체크카드,우체국,,,"기타: 우체국 서비스 이용금액의 10% 할인
선택형: 임신출산, 보육료/유아학비 등 지원
국민행복: 국민행복카드에 복수의 바우처 동시에 탑재
유의사항: 꼭 확인하세요!"
982,1st플래티늄카드 (포인트적립형),광주은행,"28,000","30,000","모든가맹점: 모든 가맹점에서 0.7% 적립
골프: 모든 골프장에서 건별 이용금액 10만원당 5천원 적립
영화: 모든 영화관 건별 이용금액 8천원 이상 시 3천원 적립
프리미엄 서비스: 국내 외 겸용카드 Master Card 프리미엄서비스
유의사항: 꼭 확인하세요!"
983,1st플래티늄카드 (캐시백형),광주은행,"28,000","30,000","모든가맹점: 모든 가맹점에서 0.7% 캐시백
골프: 모든 골프장에서 건별 이용금액 10만원당 5천원 캐시백
영화: 모든 영화관 건별 이용금액 8천원 이상 시 3천원 캐시백
프리미엄 서비스: 국내 외 겸용카드 Master Card 프리미엄서비스
유의사항: 꼭 확인하세요!"
984,부자되세요 The Oil카드,광주은행,"8,000","10,000","주유소: GS 칼텍스 리터당 최대 150원 할인
온라인쇼핑: 소셜커머스 온라인쇼핑 5% 포인트적립
백화점: 백화점 5% 포인트적립
대형마트: 대형마트 5% 포인트적립
패밀리레스토랑: 패밀리레스토랑 10% 포인트적립
카페: 커피전문점 10% 포인트적립
보험: 삼성화재 Travel Master 보험 서비스 제공
유의사항: 꼭 확인하세요!"
