카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
11,신한카드 Simple+,신한카드,,"13,000","모든가맹점: 전가맹점 0.7% 캐시백, 이동통신요금 자동이체 건 추가 0.7% 캐시백
생활: 생활친화가맹점 잔돈할인 서비스, Coin-Save
영화: 온라인 영화 예매 할인
유의사항: 꼭 확인해주세요!"
12,신한카드 Air Platinum#,신한카드,,"40,000","항공마일리지: 대한항공 1,500원당 1마일/아시아나항공 1,000원당 1마일
생활: 마이신한포인트 추가 적립
프리미엄: 특급 호텔 발렛파킹/면세점 우대 서비스 
유의사항: 꼭 확인해주세요!"
13,신한카드 Mr.Life,신한카드,,"18,000","공과금: 월납요금(공과금) 10% 할인서비스
편의점: 편의점 10% 할인
병원/약국: 병원/약국업종 10% 할인
생활: 세탁소 업종 10% 할인
온라인쇼핑: 온라인 쇼핑 10% 할인 
택시: 택시 10% 할인 
푸드: 식음료 10% 할인
대형마트: 3대 마트 10% 할인
주유소: 4대 정유사 리터당 60원 할인
온라인쇼핑:  인테이크몰 20% 할인
유의사항: 꼭 확인해주세요!"
14,신한카드 YOLO ⓘ,신한카드,"15,000","18,000","선택형: 할인율 선택 서비스
카페: 스타벅스, 커피빈
편의점: GS25, 세븐일레븐, CU
소셜커머스: 소셜커머스
택시: 택시
베이커리: 파리바게트, 뚜레쥬르
영화: CGV, 롯데시네마
카페: 스타벅스 모바일쿠폰 보너스 리워드
유의사항: 꼭 확인해주세요!"
15,신한카드 The CLASSIC+,신한카드,,"125,000","바우처: Gift Option 
항공마일리지: 항공 마일리지 적립 서비스
면세점: 제주 JDC 면세점 8% 결제일 할인
공항라운지: 더라운지
주유소: GS칼텍스 주유 시 리터당 40원 결제일 할인
카페: 스타벅스 3,000원 할인
유의사항: 꼭 확인해주세요!"
16,신한카드 RPM+ Platinum#,신한카드,,"32,000","주유: 모든 주유소 리터당 40~150포인트/충전소 리터당 10~50포인트 적립
쇼핑: 1~5% 특별적립 
마트/편의점: 1~5% 특별적립 
택시: 1~5% 특별적립 
정비: 1~5% 특별적립 
모든가맹점: 국내/외 모든 가맹점 0.2~2.0% 적립
프리미엄: Platinum # 서비스
유의사항: 꼭 확인해주세요!"
17,신한카드 YOLO Tasty,신한카드,,"13,000","쇼핑: 쇼핑업종 10% 결제일 할인 
푸드: 외식업종 10% 결제일 할인
영화: CGV 영화 예매시 5천원 결제일 할인
패스트푸드: KFC 20% 결제일 할인
카페/디저트: 커피, 베이커리 업종 20% 결제일 할인
택시: 택시 10% 결제일 할인
유의사항: 꼭 확인하세요!"
18,신한카드 Shopping,신한카드,,"23,000","쇼핑: [쇼핑 할인] 오프라인 쇼핑(백화점, 프리미엄 아울렛, 마트, 창고형 할인매장) 10% 할인
· 온라인 쇼핑(홈쇼핑, 소셜커머스) 10% 할인 
생활: [생활 할인] 커피전문점·잡화·온라인서점 10% 할인
· 주유 60원/L 할인
해외: [해외이용 캐시백] 해외이용금액 5% 캐시백
푸드: [제휴 할인] 마켓컬리, 프레딧, 집반찬연구소 10% 할인서비스
유의사항: 꼭 확인해주세요!"
19,신한카드 O2O,신한카드,,"13,000","간편결제: 온.오프라인 Pay 2~5% 결제일 할인 
통신: 이동통신요금 자동이체 시 10% 결제일 할인 
카페: 스타벅스 사이렌 오더 결제 시 최대 2천원 결제일 할인 
생활: 카카오택시, 마켓컬리, 포잉 등 10~20% 결제일 할인 
유의사항: 꼭 확인해주세요!"
21,신한카드 Simple Platinum#,신한카드,,"27,000","모든가맹점: 전 가맹점 1%, 생활밀착 가맹점 추가 0.7% 캐시백
생활: 잔돈 할인 서비스(Coin-Save)
영화: 온라인 영화 예매 할인
테마파크: 서울랜드 50% 할인
프리미엄: Platinum# 서비스 및 국제브랜드사 서비스
유의사항: 꼭 확인하세요!"
