full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
Anthony Cooper,1909,1941,320,1098,263,30,12,6,53,189,116,134,18,21,0.239526412,0.274543875,0.305100182,0.579644057
Anthony Gose,1989,2016,372,1128,271,47,19,12,101,353,69,155,57,23,0.240248227,0.30268511,0.34751773,0.65020284
Anthony Recker,1988,2017,206,552,110,28,0,18,60,193,70,55,3,2,0.199275362,0.277777778,0.347826087,0.625603865
Anthony Rendon,1990,2024,1173,4350,1218,295,16,158,547,779,671,683,55,17,0.28,0.36042475,0.464137931,0.824562681
Anthony Rizzo,1988,2024,1727,6288,1644,338,22,303,781,1208,965,922,72,44,0.261450382,0.343047107,0.466762087,0.809809194
Anthony Santander,1994,2024,746,2830,695,155,6,155,226,644,435,383,10,7,0.245583039,0.301374346,0.468904594,0.770278939
Anthony Volpe,2000,2024,319,1178,268,50,11,33,94,323,120,152,52,12,0.227504244,0.284591195,0.372665535,0.65725673
Antone Williamson,1974,1997,24,54,11,3,0,0,4,8,6,2,0,1,0.203703704,0.25862069,0.259259259,0.517879949
Antonio Mirabal,1916,1940,34,114,20,0,0,0,11,37,5,11,1,5,0.175438596,0.248,0.175438596,0.423438596
Antonio Perez,1980,2006,216,495,121,25,4,6,49,144,43,62,16,6,0.244444444,0.3125,0.347474747,0.659974747
Antonio Rodriguez,1916,1939,18,67,16,1,0,0,3,0,6,9,1,2,0.23880597,0.271428571,0.253731343,0.525159915
Aramis Garcia,1997,2024,119,308,65,5,0,10,10,117,25,27,0,1,0.211038961,0.235849057,0.324675325,0.560524381
Aramis Ramirez,1975,2015,2194,8136,2303,495,24,386,633,1238,1417,1098,29,18,0.28306293,0.334815828,0.492133727,0.826949555
Archi Cianfrocco,1969,1998,500,1276,308,59,7,34,80,360,185,136,16,3,0.24137931,0.286135693,0.378526646,0.664662339
Archie Brathwaite,1923,1948,108,385,103,19,5,4,39,37,60,60,9,7,0.267532468,0.33490566,0.374025974,0.708931634
Archie Moore,1941,1965,41,40,11,4,0,1,6,13,5,5,0,0,0.275,0.369565217,0.45,0.819565217
Archie Ware,1918,1948,188,696,200,29,9,4,52,152,105,96,14,14,0.287356322,0.336898396,0.372126437,0.709024833
Archie Wilson,1928,1952,51,140,31,5,3,0,7,14,17,9,0,0,0.221428571,0.258503401,0.3,0.558503401
Archie Yelle,1894,1919,87,199,32,4,0,0,15,19,7,13,2,7,0.16080402,0.219626168,0.180904523,0.400530691
Argenis Diaz,1987,2010,22,33,8,1,0,0,3,10,2,0,0,1,0.242424242,0.305555556,0.272727273,0.578282828
Argenis Reyes,1985,2009,58,127,26,0,0,1,5,24,3,13,3,0,0.204724409,0.234848485,0.228346457,0.463194942
Arismendy Alc찼ntara,1991,2017,167,428,81,15,3,11,24,150,39,51,14,8,0.189252336,0.232300885,0.315420561,0.547721446
Aristides Aquino,1995,2022,244,686,145,28,1,41,66,255,108,87,12,5,0.211370262,0.280585106,0.434402332,0.714987439
Arky Vaughan,1912,1948,1817,6622,2103,356,128,96,937,276,926,1175,118,32,0.317577771,0.402169599,0.453488372,0.855657971
Arlie Latham,1870,1909,1627,6822,1833,245,85,27,588,539,625,1478,761,39,0.268689534,0.326720648,0.341395485,0.668116133
Arlie Tarbert,1904,1928,40,86,16,2,0,0,4,13,7,6,1,0,0.186046512,0.222222222,0.209302326,0.431524548
Armando Alvarez,2001,2024,16,37,9,1,0,0,2,8,2,7,1,0,0.243243243,0.282051282,0.27027027,0.552321552
Armando Celada,1906,1929,36,118,24,7,0,0,8,37,7,10,6,2,0.203389831,0.253968254,0.262711864,0.516680118
Armando Marsans,1888,1918,646,2273,612,67,19,2,173,117,221,267,171,42,0.26924769,0.320932134,0.31808183,0.639013964
Armando Rios,1975,2003,419,1021,275,55,8,36,115,206,167,135,14,10,0.269343781,0.343309859,0.444662096,0.787971955
Armando Vazquez,1922,1948,62,191,50,3,4,2,16,75,20,27,2,7,0.261780105,0.31884058,0.35078534,0.66962592
Army Rhodes,1918,1942,12,38,4,1,0,0,1,37,3,2,0,5,0.105263158,0.128205128,0.131578947,0.259784076
Arndt Jorgens,1906,1939,307,738,176,31,5,4,85,73,89,79,3,3,0.238482385,0.317132442,0.310298103,0.627430545
Arnold Hauser,1888,1915,433,1468,349,33,20,6,121,184,137,180,68,11,0.23773842,0.295783512,0.29972752,0.595511032
Arnold Statz,1898,1928,683,2585,737,114,31,17,194,211,215,376,77,53,0.285106383,0.335012594,0.372920696,0.707933291
Arquimedez Pozo,1972,1997,26,74,14,4,1,1,2,15,14,4,1,0,0.189189189,0.210526316,0.310810811,0.521337127
Art Allison,1853,1876,31,130,27,2,1,0,2,6,10,9,6,2,0.207692308,0.21969697,0.238461538,0.458158508
Art Ball,1874,1898,33,84,16,2,0,0,7,38,8,7,2,5,0.19047619,0.252747253,0.214285714,0.467032967
Art Brouthers,1883,1906,37,144,30,5,1,0,5,37,14,18,4,2,0.208333333,0.234899329,0.256944444,0.491843773
Art Bues,1890,1914,16,46,10,1,1,0,5,7,4,3,1,5,0.217391304,0.294117647,0.282608696,0.576726343
Art Butler,1888,1916,456,1289,311,44,13,3,146,102,101,181,54,25,0.241272304,0.318466899,0.302560124,0.621027023
Art Croft,1854,1878,114,442,86,11,2,0,6,38,43,45,11,5,0.194570136,0.205357143,0.228506787,0.43386393
Art Devlin,1881,1913,1315,4412,1185,164,57,10,576,329,505,603,285,23,0.268585675,0.353047314,0.338395286,0.691442599
Art Ewoldt,1896,1919,9,32,7,1,0,0,1,5,2,2,0,2,0.21875,0.242424242,0.25,0.492424242
Art Fletcher,1887,1922,1537,5541,1534,238,77,32,203,385,675,684,159,51,0.276845335,0.302402507,0.36491608,0.667318587
Art Gardner,1953,1978,86,99,16,0,0,0,4,25,5,12,1,1,0.161616162,0.194174757,0.161616162,0.355790919
Art Garibaldi,1913,1936,71,232,64,12,0,1,16,30,20,30,3,2,0.275862069,0.322580645,0.340517241,0.663097887
Art Griggs,1889,1918,442,1370,379,73,20,5,105,173,152,127,36,16,0.276642336,0.328135593,0.370072993,0.698208586
Art Hefner,1925,1948,23,88,20,0,0,0,7,37,6,8,5,2,0.227272727,0.284210526,0.227272727,0.511483254
Art Hoelskoetter,1882,1908,300,952,225,21,8,2,40,150,53,59,9,9,0.236344538,0.267137097,0.281512605,0.548649702
Art Howe,1952,1985,891,2626,682,139,23,43,275,287,293,268,10,10,0.259710586,0.329886246,0.379284082,0.709170328
