,full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
989,Bob Martyn,1934,1959,154,358,94,12,11,3,37,56,35,35,2,7,0.262569832,0.33164557,0.382681564,0.714327134
990,Bob McHale,1875,1898,11,33,6,2,0,0,1,37,7,5,1,2,0.181818182,0.205882353,0.242424242,0.448306595
991,Bob Melvin,1962,1994,692,1955,456,85,6,35,98,396,212,174,4,13,0.233248082,0.269849001,0.33657289,0.606421891
992,Bob Meusel,1897,1930,1407,5475,1693,368,95,156,375,619,1067,826,142,104,0.309223744,0.353504274,0.496621005,0.850125278
993,Bob Miller,1905,1932,294,997,259,43,16,4,93,151,124,124,12,11,0.259779338,0.32293578,0.347041123,0.669976903
994,Bob Molinaro,1953,1983,401,803,212,25,11,14,65,57,90,106,46,15,0.264009963,0.319124424,0.374844334,0.693968758
995,Bob Montgomery,1947,1979,387,1185,306,50,8,23,64,268,156,125,6,2,0.258227848,0.29623699,0.372151899,0.668388888
996,Bob Nieman,1928,1962,1113,3452,1018,180,32,125,435,512,544,455,10,30,0.294901506,0.373810136,0.474217845,0.848027981
997,Bob O'Farrell,1892,1935,1493,4101,1120,201,58,51,547,408,549,517,35,41,0.273104121,0.358648881,0.387710315,0.746359196
998,Bob Oldis,1934,1963,135,236,56,6,0,1,20,22,22,20,0,1,0.237288136,0.296875,0.275423729,0.572298729
999,Bob Oliver,1945,1975,847,2914,745,102,19,94,156,562,419,293,17,14,0.25566232,0.293485342,0.400480439,0.693965781
1000,Bob Pate,1957,1981,31,45,12,2,0,0,4,6,5,3,0,1,0.266666667,0.326530612,0.311111111,0.637641723
1001,Bob Perry,1940,1964,131,387,103,17,1,6,23,83,30,35,2,2,0.266149871,0.307317073,0.361757106,0.669074179
1002,Bob Peterson,1883,1907,43,131,25,1,1,1,11,75,9,11,1,5,0.190839695,0.253521127,0.236641221,0.490162348
1003,Bob Pettit,1866,1891,96,387,93,8,7,7,22,31,40,62,25,7,0.240310078,0.281173594,0.351421189,0.632594783
1004,Bob Porter,1958,1982,41,41,7,1,0,0,3,10,4,3,0,0,0.170731707,0.227272727,0.195121951,0.422394678
1005,Bob Prichard,1916,1939,26,85,20,5,0,0,19,16,8,8,0,2,0.235294118,0.375,0.294117647,0.669117647
1006,Bob Ramazzotti,1924,1953,346,851,196,22,9,4,45,107,53,86,15,10,0.230317274,0.268973214,0.291421857,0.560395071
1007,Bob Randall,1953,1980,460,1325,341,50,9,1,83,102,91,154,11,14,0.257358491,0.301136364,0.310943396,0.61207976
1008,Bob Raudman,1943,1967,16,55,11,2,0,0,2,8,3,1,0,0,0.2,0.228070175,0.236363636,0.464433812
1009,Bob Repass,1918,1942,84,265,64,12,1,2,33,32,24,30,6,3,0.241509434,0.325503356,0.316981132,0.642484488
1010,Bob Rice,1903,1926,19,54,8,0,1,0,3,4,10,3,0,2,0.148148148,0.192982456,0.185185185,0.378167641
1011,Bob Robertson,1946,1979,829,2385,578,93,10,115,317,546,368,283,7,9,0.242348008,0.331236121,0.434381551,0.765617673
1012,Bob Roselli,1935,1962,68,114,25,7,1,2,12,31,10,8,1,0,0.219298246,0.293650794,0.350877193,0.644527987
1013,Bob Sadowski,1937,1963,184,329,73,9,3,7,33,63,46,38,3,1,0.221884498,0.29281768,0.331306991,0.62412467
1014,Bob Saverine,1939,1967,379,861,206,27,6,6,73,149,47,114,23,9,0.239256678,0.298715203,0.305458769,0.604173972
1015,Bob Scheffing,1921,1951,517,1357,357,53,9,20,103,127,187,105,6,16,0.263080324,0.315068493,0.359616802,0.674685295
1016,Bob Schmidt,1936,1965,454,1305,317,55,4,39,100,199,150,133,0,6,0.242911877,0.296797153,0.380842912,0.677640065
1017,Bob Schroder,1942,1968,138,221,48,5,1,0,23,21,12,29,1,0,0.21719457,0.290983607,0.248868778,0.539852385
1018,Bob Scott,1899,1927,141,550,140,14,0,3,46,224,44,79,17,14,0.254545455,0.312080537,0.296363636,0.608444173
1019,Bob Seeds,1909,1940,615,1937,537,77,21,28,160,190,233,268,14,22,0.277232834,0.33237959,0.382034073,0.714413663
1020,Bob Sheldon,1952,1977,94,262,67,8,5,0,23,25,17,30,0,4,0.255725191,0.315789474,0.324427481,0.640216955
1021,Bob Skinner,1932,1966,1381,4318,1198,197,58,103,485,646,531,642,67,36,0.277443261,0.350405996,0.421491431,0.771897427
1022,Bob Smith,1908,1944,412,1259,300,44,11,3,73,331,140,117,21,36,0.238284353,0.28003003,0.297855441,0.577885471
1023,Bob Speake,1933,1959,305,761,170,26,10,31,80,158,104,110,8,11,0.223390276,0.297265161,0.406044678,0.703309839
1024,Bob Spence,1946,1971,72,183,37,5,1,4,16,47,19,13,0,0,0.202185792,0.266331658,0.306010929,0.572342587
1025,Bob Stephenson,1932,1955,67,111,27,3,0,0,5,18,6,19,2,1,0.243243243,0.275862069,0.27027027,0.546132339
1026,Bob Stinson,1946,1980,652,1634,408,61,7,33,201,254,180,166,8,10,0.249694002,0.331880109,0.356181151,0.68806126
1027,Bob Swift,1917,1953,1001,2750,635,86,3,14,324,233,238,212,10,6,0.230909091,0.311971373,0.279636364,0.591607736
1028,Bob Talbot,1930,1954,122,433,107,15,5,1,16,29,19,50,4,6,0.247113164,0.273942094,0.311778291,0.585720385
1029,Bob Taylor,1946,1970,64,85,16,0,0,2,12,50,10,12,0,2,0.188235294,0.288659794,0.258823529,0.547483323
1030,Bob Thorpe,1928,1953,110,331,83,9,3,3,6,48,32,22,3,2,0.250755287,0.264094955,0.32326284,0.587357795
1031,Bob Thurman,1930,1959,420,964,258,34,16,41,80,112,154,160,11,6,0.267634855,0.323754789,0.463692946,0.787447735
1032,Bob Tillman,1939,1970,775,2329,540,68,10,79,228,510,282,189,1,0,0.231859167,0.300351975,0.371404036,0.671756011
1033,Bob Uecker,1939,1967,297,731,146,22,0,14,96,167,74,65,0,3,0.199726402,0.292623942,0.287277702,0.579901644
1034,Bob Unglaub,1882,1910,596,2150,554,67,35,5,88,224,216,188,66,14,0.257674419,0.286863271,0.328372093,0.615235364
1035,Bob Usher,1929,1957,428,1101,259,41,4,18,90,136,102,133,9,12,0.23524069,0.293031066,0.328792007,0.621823074
1036,Bob Watson,1943,1984,1831,6185,1826,307,41,184,653,796,989,802,27,28,0.295230396,0.362532904,0.447372676,0.80990558
1037,Bob Will,1935,1963,410,819,202,35,9,9,83,119,87,87,2,6,0.246642247,0.315964523,0.344322344,0.660286868
1038,Bob Williams,1906,1932,60,142,27,3,1,0,21,78,15,16,1,9,0.190140845,0.294478528,0.225352113,0.51983064
1039,Bob Wilson,1933,1958,94,304,91,10,1,3,25,76,40,30,8,5,0.299342105,0.352583587,0.368421053,0.721004639
1040,Bob Wood,1876,1905,383,1245,350,73,15,2,89,262,168,149,15,16,0.281124498,0.329085457,0.368674699,0.697760156
1041,Bob Zupcic,1968,1994,319,795,199,47,4,7,57,137,80,99,7,5,0.250314465,0.300469484,0.34591195,0.646381433
1042,Bobby Abreu,1974,2014,2425,8480,2470,574,59,288,1476,1840,1363,1453,400,128,0.291273585,0.396343913,0.474764151,0.871108064
1043,Bobby Adams,1923,1959,1281,4019,1082,188,49,37,414,447,303,591,67,41,0.269221199,0.337468983,0.368001991,0.705470973
1044,Bobby Anderson,1897,1920,23,70,16,2,2,0,10,0,5,6,2,2,0.228571429,0.325,0.314285714,0.639285714
1045,Bobby Avila,1926,1959,1300,4620,1296,185,35,80,561,399,467,725,78,52,0.280519481,0.358425014,0.387662338,0.746087352
1046,Bobby Bonds,1945,1981,1849,7043,1886,302,66,332,914,1757,1024,1258,461,169,0.267783615,0.351891416,0.470822093,0.822713509
1047,Bobby Bonilla,1963,2001,2113,7213,2010,408,61,287,912,1204,1173,1084,45,57,0.278663524,0.359630769,0.471509774,0.831140543
1048,Bobby Bonner,1957,1983,61,108,21,5,1,0,4,16,8,15,1,0,0.194444444,0.223214286,0.259259259,0.482473545
1049,Bobby Bradley,1997,2022,97,307,61,15,0,17,29,128,45,41,0,0,0.198697068,0.267857143,0.413680782,0.681537925
1050,Bobby Bragan,1919,1948,597,1900,456,62,12,15,110,117,172,136,12,16,0.24,0.28159204,0.308947368,0.590539408
1051,Bobby Brooks,1947,1973,55,143,33,6,0,5,29,42,20,19,0,4,0.230769231,0.360465116,0.377622378,0.738087494
1052,Bobby Brown,1948,1985,1050,2896,765,100,26,48,308,326,367,416,119,44,0.264157459,0.334893883,0.366367403,0.701261286
1053,Bobby Byrne,1884,1917,1284,4831,1225,186,60,10,456,332,329,667,176,35,0.253570689,0.317949688,0.323121507,0.641071195
1054,Bobby Clack,1853,1876,32,118,19,0,1,0,5,12,5,10,6,2,0.161016949,0.195121951,0.177966102,0.373088053
1055,Bobby Clark,1956,1985,396,967,231,34,7,19,55,199,100,97,4,8,0.238883144,0.279843444,0.347466391,0.627309835
1056,Bobby Cox,1945,1969,220,628,141,22,2,9,75,126,58,50,3,3,0.224522293,0.307254623,0.308917197,0.61617182
1057,Bobby Crosby,1980,2010,747,2559,605,146,8,62,241,516,276,329,34,13,0.236420477,0.302142857,0.372411098,0.674553955
1058,Bobby Dalbec,1997,2024,331,946,210,37,7,47,79,384,142,115,9,0,0.221987315,0.28195122,0.424947146,0.706898365
1059,Bobby Darwin,1948,1977,639,2223,559,76,16,83,160,576,328,249,15,9,0.251461988,0.30172052,0.41205578,0.713776301
1060,Bobby Del Greco,1934,1965,731,1982,454,95,11,42,271,372,169,271,16,15,0.229061554,0.321793165,0.351664985,0.67345815
1061,Bobby Doerr,1915,1951,1865,7093,2042,381,89,223,809,608,1247,1094,54,64,0.287889468,0.360794736,0.461017905,0.82181264
1062,Bobby Estalella,1964,2004,990,3100,815,155,38,92,480,536,455,405,19,19,0.262903226,0.361731844,0.426451613,0.788183456
1063,Bobby Etheridge,1945,1969,96,246,60,16,2,2,26,38,25,26,0,0,0.243902439,0.316176471,0.349593496,0.665769967
1064,Bobby Fenwick,1949,1973,41,56,10,3,0,0,3,15,5,7,0,1,0.178571429,0.220338983,0.232142857,0.45248184
1065,Bobby Floyd,1945,1974,214,425,93,18,1,0,28,99,26,40,2,2,0.218823529,0.267108168,0.265882353,0.532990521
1066,Bobby Gene Smith,1936,1965,476,962,234,35,5,13,55,154,96,101,5,9,0.243243243,0.284169125,0.330561331,0.614730455
1067,Bobby Grich,1947,1986,2008,6890,1833,320,47,224,1087,1278,864,1033,104,83,0.266037736,0.366052401,0.423657475,0.789709875
1068,Bobby Higginson,1972,2005,1362,4910,1336,270,33,187,649,796,709,736,91,53,0.27209776,0.357078611,0.454786151,0.811864762
1069,Bobby Hill,1979,2005,249,523,137,20,4,6,48,100,58,67,6,4,0.261950287,0.323992995,0.349904398,0.673897392
1070,Bobby Hofman,1928,1957,341,670,166,22,6,32,70,94,101,81,1,5,0.247761194,0.318918919,0.441791045,0.760709964
1071,Bobby Hughes,1975,1999,133,319,76,9,2,12,21,82,37,38,1,2,0.238244514,0.285294118,0.39184953,0.677143647
1072,Bobby Kielty,1978,2007,599,1792,456,105,6,53,246,372,253,257,21,6,0.254464286,0.344455348,0.408482143,0.752937491
1073,Bobby Klaus,1941,1965,215,590,123,25,4,6,74,92,29,65,5,10,0.208474576,0.296686747,0.294915254,0.591602001
1074,Bobby Kline,1932,1955,77,140,31,5,0,0,11,27,9,12,0,0,0.221428571,0.278145695,0.257142857,0.535288553
1075,Bobby Knoop,1941,1972,1153,3622,856,129,29,56,305,833,331,337,16,17,0.236333517,0.295645531,0.334345665,0.629991196
1076,Bobby Lowe,1867,1907,1821,7065,1929,230,85,71,473,626,984,1131,302,41,0.273036093,0.318652162,0.35980184,0.678454002
1077,Bobby Malkmus,1934,1962,268,572,123,15,5,8,38,90,46,69,3,5,0.215034965,0.263934426,0.300699301,0.564633727
1078,Bobby Mattick,1915,1942,206,690,161,31,1,0,33,60,64,54,7,11,0.233333333,0.268326418,0.28115942,0.549485838
1079,Bobby Meacham,1960,1988,457,1371,324,58,8,8,140,276,114,202,58,24,0.236323851,0.307081403,0.307804522,0.614885925
1080,Bobby Messenger,1888,1914,56,157,27,1,3,0,20,112,4,29,10,9,0.171974522,0.265536723,0.21656051,0.482097233
1081,Bobby Mitchell,1951,1983,476,1230,293,44,14,24,140,283,165,161,29,27,0.238211382,0.316058394,0.355284553,0.671342947
1082,Bobby Morgan,1928,1958,671,2088,487,96,11,53,327,381,217,286,18,13,0.233237548,0.337060041,0.365900383,0.702960425
1083,Bobby Murcer,1944,1983,1908,6730,1862,285,45,252,862,841,1043,972,127,75,0.27667162,0.358798736,0.444725111,0.803523847
1084,Bobby Murray,1900,1923,10,37,7,1,0,0,1,4,2,2,1,0,0.189189189,0.210526316,0.216216216,0.426742532
1085,Bobby Pfeil,1947,1971,106,281,68,12,0,2,13,36,19,25,1,2,0.241992883,0.275510204,0.306049822,0.581560026
1086,Bobby Ramos,1956,1984,103,232,44,7,1,4,22,38,17,20,0,0,0.189655172,0.25984252,0.280172414,0.540014933
1087,Bobby Reeves,1903,1931,502,1598,402,55,22,8,175,218,135,203,21,21,0.251564456,0.325437112,0.32853567,0.653972782
1088,Bobby Reis,1912,1937,52,107,27,5,0,0,15,13,8,13,2,7,0.252336449,0.344262295,0.299065421,0.643327716
1089,Bobby Rhawn,1924,1949,91,198,47,9,2,2,35,17,18,38,4,6,0.237373737,0.35193133,0.333333333,0.685264664
1090,Bobby Richardson,1932,1966,1412,5386,1432,196,37,34,262,243,390,643,73,48,0.265874489,0.299929178,0.334942443,0.634871622
1091,Bobby Robinson,1906,1940,523,1861,459,56,21,9,177,266,190,278,40,25,0.246641591,0.312070658,0.31380978,0.625880437
1092,Bobby Rose,1966,1992,73,200,49,11,3,5,15,33,23,24,1,1,0.245,0.297674419,0.405,0.702674419
1093,Bobby Scales,1986,2010,61,137,34,8,2,3,18,37,17,19,1,0,0.248175182,0.335483871,0.401459854,0.736943725
1094,Bobby Schang,1902,1927,82,186,35,7,4,0,18,47,6,14,3,7,0.188172043,0.259803922,0.268817204,0.528621126
1095,Bobby Smith,1975,2002,258,826,192,29,4,21,70,268,107,88,11,9,0.232445521,0.292410714,0.353510896,0.64592161
1096,Bobby Stevens,1908,1931,12,35,12,0,0,0,2,2,4,3,0,2,0.342857143,0.378378378,0.342857143,0.721235521
1097,Bobby Sturgeon,1920,1948,420,1220,313,48,12,1,34,79,80,107,7,14,0.256557377,0.276714514,0.318032787,0.5947473
1098,Bobby Thompson,1955,1978,64,120,27,3,3,2,9,26,12,23,7,2,0.225,0.279069767,0.35,0.629069767
1099,Bobby Thomson,1923,1960,1779,6305,1705,267,74,264,559,804,1026,903,38,31,0.270420301,0.32983683,0.46185567,0.7916925
1100,Bobby Tolan,1944,1979,1282,4238,1121,173,34,86,258,587,497,572,193,100,0.264511562,0.306717082,0.382255781,0.688972863
1101,Bobby Trevino,1945,1968,17,40,9,1,0,0,2,9,1,1,0,1,0.225,0.261904762,0.25,0.511904762
1102,Bobby Valentine,1947,1979,639,1698,441,59,9,12,140,134,157,176,27,20,0.259717314,0.316104461,0.326266196,0.642370657
1103,Bobby Vaughn,1891,1915,149,535,148,19,9,0,59,75,32,70,25,5,0.276635514,0.348484848,0.345794393,0.694279241
1104,Bobby Veach,1889,1925,1823,6656,2063,393,147,64,571,404,1166,952,195,95,0.309945913,0.364466584,0.442007212,0.806473795
1105,Bobby Wallace,1873,1918,2347,8507,2286,388,140,34,768,659,1110,1041,201,50,0.268719878,0.329272237,0.359233572,0.68850581
1106,Bobby Wheelock,1866,1891,236,854,201,25,4,3,118,107,70,138,106,7,0.235362998,0.3281893,0.284543326,0.612732626
1107,Bobby Wilkins,1921,1945,86,179,46,6,0,0,11,21,7,29,2,4,0.25698324,0.3,0.290502793,0.590502793
1108,Bobby Williams,1902,1934,493,1713,386,52,18,3,133,238,204,248,64,22,0.225335668,0.281148429,0.281961471,0.5631099
1109,Bobby Wilson,1987,2019,386,932,189,40,0,18,70,227,102,83,0,3,0.2027897,0.258483034,0.303648069,0.562131103
1110,Bobby Wine,1938,1972,1164,3172,682,104,16,30,214,538,268,249,7,7,0.215006305,0.264619019,0.286254729,0.550873748
1111,Bobby Winston,1897,1921,47,145,36,9,1,0,25,0,12,20,3,5,0.248275862,0.358823529,0.324137931,0.68296146
1112,Bobby Witt,1999,2024,469,1868,538,104,28,82,127,362,285,304,110,34,0.288008565,0.333333333,0.505353319,0.838686652
1113,Bobby Young,1928,1958,687,2447,609,68,28,15,208,212,137,244,18,21,0.248876175,0.307721281,0.317940335,0.625661616
1114,Bobo Leonard,1900,1927,161,512,135,23,4,6,52,152,56,72,7,11,0.263671875,0.331560284,0.359375,0.690935284
1115,Bobo Osborne,1935,1963,359,763,157,30,2,17,104,171,86,93,2,0,0.20576671,0.301038062,0.317169069,0.618207132
1116,Bombo Rivera,1954,1982,335,831,220,39,11,10,71,144,83,109,11,8,0.264741276,0.322616408,0.374247894,0.696864302
1117,Bones Ely,1867,1902,1331,5127,1326,149,68,24,255,370,650,650,169,30,0.258630778,0.293756968,0.328262142,0.622019109
1118,Bonnie Serrell,1918,1945,155,566,175,36,15,9,42,77,79,98,13,8,0.309187279,0.356907895,0.473498233,0.830406128
1119,Boob Fowler,1900,1926,78,175,57,7,2,1,6,19,18,30,3,2,0.325714286,0.348066298,0.405714286,0.753780584
1120,Boog Powell,1977,2018,2101,6822,1813,276,12,342,1017,1262,1199,916,21,23,0.265757842,0.361015436,0.460128994,0.82114443
1121,Boots Day,1946,1974,471,1151,295,28,6,8,95,141,98,146,15,15,0.256298871,0.313001605,0.311902693,0.624904298
1122,Boots McClain,1898,1926,125,446,99,12,7,4,35,193,50,56,10,14,0.221973094,0.278586279,0.307174888,0.585761166
1123,Boss Schmidt,1883,1911,479,1480,360,41,22,3,36,224,124,137,23,14,0.243243243,0.26121372,0.306756757,0.567970477
1124,Boyd Perry,1918,1941,36,83,15,5,0,0,10,9,11,9,1,0,0.180722892,0.268817204,0.240963855,0.50978106
1125,Boze Berger,1911,1939,343,1144,270,51,8,13,94,226,97,146,12,7,0.236013986,0.294022617,0.328671329,0.622693946
1126,Bozo Jackson,1919,1945,16,61,18,1,1,0,2,150,1,8,0,9,0.295081967,0.317460317,0.344262295,0.661722613
1127,Brad Ausmus,1970,2010,1971,6279,1579,270,34,80,634,1034,607,718,102,53,0.251473165,0.32012151,0.343526039,0.663647549
1128,Brad Davis,1987,2010,33,109,23,7,1,3,9,37,16,8,2,0,0.211009174,0.271186441,0.376146789,0.64733323
1129,Brad Eldred,1986,2012,90,276,56,12,1,15,17,109,34,31,1,1,0.202898551,0.249146758,0.416666667,0.665813424
1130,Brad Emaus,1988,2011,14,37,6,0,0,0,4,9,1,2,0,0,0.162162162,0.243902439,0.162162162,0.406064601
1131,Brad Fullmer,1974,2004,807,2789,778,203,16,114,216,373,442,395,32,21,0.27895303,0.33078203,0.485837218,0.816619248
1132,Brad Gulden,1957,1986,182,435,87,14,2,5,45,61,43,45,2,3,0.2,0.275,0.275862069,0.550862069
1133,Brad Hawpe,1982,2013,910,2934,806,176,23,124,430,810,492,400,13,16,0.274710293,0.367419738,0.477164281,0.844584019
1134,Brad Kocher,1891,1916,69,139,25,5,2,0,4,48,12,9,0,7,0.179856115,0.202797203,0.244604317,0.447401519
1135,Brad Komminsk,1961,1991,376,986,215,37,5,23,114,258,105,140,39,20,0.218052738,0.299090909,0.335699797,0.634790706
1136,Brad Miller,1990,2023,1055,3132,740,133,30,123,350,873,405,397,43,18,0.236270754,0.313038484,0.415708812,0.728747296
1137,Brad Mills,1957,1983,106,168,43,5,0,1,14,21,12,11,0,1,0.255952381,0.313186813,0.303571429,0.616758242
1138,Brad Snyder,1989,2014,30,66,11,2,0,2,5,28,8,5,0,0,0.166666667,0.225352113,0.287878788,0.513230901
1139,Brad Wellman,1959,1989,441,927,214,30,2,6,59,176,77,97,26,15,0.230852211,0.276876268,0.286947141,0.563823409
1140,Brad Wilkerson,1978,2008,972,3187,788,193,28,122,492,947,399,500,53,43,0.247254471,0.347920631,0.440225918,0.788146548
1141,Braden Bishop,1996,2021,47,90,12,2,0,0,5,33,8,6,1,0,0.133333333,0.178947368,0.155555556,0.334502924
1142,Braden Shewmake,2000,2024,31,68,8,2,0,1,1,11,4,4,5,1,0.117647059,0.130434783,0.191176471,0.321611253
1143,Bradford Bennett,1917,1942,68,204,49,7,1,6,16,41,29,21,2,5,0.240196078,0.295454545,0.37254902,0.668003565
1144,Bradley Zimmer,1994,2022,372,859,183,34,3,21,76,331,91,121,42,8,0.213038417,0.277005348,0.332945285,0.609950633
1145,Brady Anderson,1965,2002,1834,6499,1661,338,67,210,960,1190,761,1062,315,100,0.255577781,0.351387585,0.42514233,0.776529915
1146,Brady Clark,1977,2008,785,2015,559,97,7,36,208,252,210,264,48,33,0.277419355,0.34502924,0.386104218,0.731133458
1147,Braggo Roth,1891,1921,811,2831,804,138,73,30,335,389,422,427,189,48,0.283998587,0.359759949,0.416107383,0.775867332
1148,Branch Rickey,1888,1914,120,343,82,8,6,3,27,113,39,38,8,9,0.239067055,0.294594595,0.32361516,0.618209755
1149,Branch Russell,1899,1932,766,2880,889,134,73,57,368,265,491,632,71,25,0.308680556,0.387007389,0.465277778,0.852285167
1150,Brandon Allen,1986,2012,116,344,70,19,2,12,42,137,41,44,3,0,0.203488372,0.29015544,0.375,0.66515544
1151,Brandon Barnes,1990,2018,484,1172,284,56,9,20,67,358,102,133,22,20,0.242320819,0.283292978,0.35665529,0.639948268
1152,Brandon Belt,1988,2023,1413,4729,1232,290,36,194,678,1346,627,681,47,21,0.260520195,0.353245792,0.460139564,0.813385357
1153,Brandon Berger,1978,2004,81,217,46,8,2,8,15,45,24,28,2,1,0.211981567,0.262931034,0.377880184,0.640811219
1154,Brandon Boggs,1985,2011,130,326,68,18,4,10,49,113,43,34,4,2,0.208588957,0.312,0.380368098,0.692368098
1155,Brandon Crawford,1988,2024,1684,5646,1404,295,44,147,544,1294,748,674,47,34,0.248671626,0.314701131,0.394615657,0.709316788
1156,Brandon Dixon,1996,2023,235,615,138,32,4,22,29,219,74,66,6,1,0.224390244,0.25931677,0.396747967,0.656064738
1157,Brandon Drury,1992,2024,867,2915,713,170,9,109,188,718,375,337,5,8,0.244596913,0.290364164,0.421269297,0.71163346
1158,Brandon Fahey,1983,2008,189,411,92,18,5,2,28,82,36,54,5,4,0.223844282,0.273348519,0.306569343,0.579917862
1159,Brandon Guyer,1989,2018,518,1291,323,72,5,32,91,269,137,184,22,8,0.250193648,0.299565847,0.388071263,0.687637109
1160,Brandon Harper,1983,2006,18,41,12,3,0,2,4,4,6,6,0,0,0.292682927,0.355555556,0.512195122,0.867750678
1161,Brandon Hicks,1988,2014,126,294,45,11,1,11,40,119,30,43,1,1,0.153061224,0.254491018,0.30952381,0.564014827
1162,Brandon Inge,1978,2013,1532,5014,1166,228,38,152,443,1306,648,563,45,40,0.232548863,0.294850651,0.384124452,0.678975102
1163,Brandon Jones,1984,2009,51,148,38,11,1,1,11,39,22,18,1,0,0.256756757,0.308176101,0.364864865,0.673040965
1164,Brandon Laird,1988,2013,53,127,25,4,0,6,8,38,16,12,0,0,0.196850394,0.244444444,0.37007874,0.614523185
1165,Brandon Larson,1978,2004,109,291,52,11,0,8,35,86,37,29,4,2,0.178694158,0.266871166,0.298969072,0.565840238
1166,Brandon Lowe,1995,2024,611,2150,527,107,12,126,244,668,363,336,30,3,0.245116279,0.322055138,0.481860465,0.803915603
1167,Brandon Marsh,1998,2024,472,1482,380,72,16,41,157,547,191,189,45,10,0.256410256,0.327638804,0.409581646,0.737220451
1168,Brandon Moss,1984,2017,1016,3133,742,159,17,160,328,968,473,419,11,11,0.236833706,0.309159203,0.451643792,0.760802994
1169,Brandon Nimmo,1993,2024,911,3136,820,161,32,110,474,833,371,512,41,17,0.261479592,0.358448753,0.438456633,0.796905386
1170,Brandon Phillips,1979,2018,1902,7378,2029,368,35,211,420,1092,951,1005,209,84,0.275006777,0.314054886,0.420168067,0.734222953
1171,Brandon Snyder,1990,2018,122,200,48,14,1,9,7,67,29,27,0,1,0.24,0.265700483,0.455,0.720700483
1172,Brandon Watson,1982,2007,40,86,17,2,1,1,6,12,7,10,2,4,0.197674419,0.25,0.279069767,0.529069767
1173,Brandon Wood,1984,2011,272,700,130,18,0,18,32,218,64,65,5,0,0.185714286,0.221311475,0.288571429,0.509882904
1174,Brandy Davis,1929,1953,67,134,25,3,1,0,11,31,3,19,9,4,0.186567164,0.248275862,0.223880597,0.472156459
1175,Brant Alyea,1944,1972,371,866,214,33,2,38,100,210,148,100,5,7,0.247113164,0.32505176,0.42147806,0.74652982
1176,Brant Brown,1973,2000,424,1056,261,52,11,45,74,316,146,142,15,14,0.247159091,0.296460177,0.445075758,0.741535935
1177,Braulio Castillo,1968,1992,56,128,24,6,1,2,5,30,9,15,2,1,0.1875,0.218045113,0.296875,0.514920113
1178,Brayan Pe챰a,1982,2016,638,1807,468,93,2,23,105,214,164,136,6,7,0.258992806,0.299686192,0.350857775,0.650543968
1179,Brayan Rocchio,2000,2024,166,464,99,24,0,8,48,117,44,59,10,6,0.213362069,0.287109375,0.316810345,0.60391972
1180,Brendan Donovan,1999,2024,374,1305,366,65,5,30,140,204,152,177,12,9,0.28045977,0.35017301,0.406896552,0.757069562
1181,Brendan Harris,1983,2013,529,1694,434,99,7,33,132,343,167,208,5,5,0.256198347,0.309967141,0.381345927,0.691313068
1182,Brendan Rodgers,1996,2024,452,1690,449,92,8,45,111,391,197,218,1,0,0.265680473,0.310938368,0.409467456,0.720405823
1183,Brendan Ryan,1984,2016,896,2591,604,116,18,19,198,490,203,304,67,25,0.233114628,0.287558265,0.313778464,0.601336729
1184,Brennan Boesch,1987,2015,481,1577,394,79,7,48,109,344,195,192,22,7,0.249841471,0.298339265,0.400126823,0.698466088
1185,Brent Abernathy,1979,2005,232,868,212,36,5,8,60,93,80,97,21,7,0.244239631,0.293103448,0.324884793,0.617988241
1186,Brent Bowers,1973,1996,21,39,12,2,0,0,0,7,3,6,0,0,0.307692308,0.307692308,0.358974359,0.666666667
1187,Brent Brede,1973,1998,169,422,106,20,5,5,46,86,40,50,8,2,0.251184834,0.324786325,0.357819905,0.68260623
1188,Brent Butler,1978,2003,203,553,137,28,6,11,24,60,60,85,4,7,0.247739602,0.279029463,0.379746835,0.658776298
1189,Brent Clevlen,1984,2010,59,77,18,2,2,3,5,31,7,17,0,0,0.233766234,0.280487805,0.428571429,0.709059233
1190,Brent Cookson,1975,1999,25,40,6,1,0,0,2,8,5,2,1,0,0.15,0.19047619,0.175,0.36547619
1191,Brent Gates,1970,1999,685,2329,616,119,11,25,225,349,279,268,18,13,0.264491198,0.329287392,0.357234865,0.686522257
1192,Brent Lillibridge,1985,2013,358,708,145,25,4,19,49,235,71,102,37,14,0.20480226,0.256274769,0.331920904,0.588195673
1193,Brent Mayne,1967,2004,1279,3614,951,178,8,38,370,580,403,359,18,27,0.263143331,0.331576305,0.34836746,0.679943765
1194,Brent Morel,1987,2015,220,662,150,26,1,13,40,132,59,72,12,6,0.226586103,0.270655271,0.327794562,0.598449833
1195,Brent Rooker,1997,2024,363,1249,322,59,3,79,126,435,204,173,15,3,0.257806245,0.325818182,0.49959968,0.825417862
1196,Brenton Doyle,2000,2024,275,941,222,40,9,33,68,304,120,130,52,10,0.235919235,0.28741328,0.402763018,0.690176299
1197,Bret Barberie,1968,1996,479,1434,388,73,6,16,164,268,133,163,16,13,0.270571827,0.34543179,0.363319386,0.708751176
1198,Bret Boone,1969,2005,1780,6683,1775,366,28,252,552,1295,1021,927,94,53,0.265599282,0.321630961,0.441867425,0.763498385
