,full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
47,Adam LaRoche,1981,2015,1605,5593,1452,340,13,255,649,1407,882,752,13,11,0.259610227,0.336590836,0.461827284,0.79841812
48,Adam Lind,1983,2017,1344,4577,1247,259,12,200,393,945,723,588,7,5,0.272449203,0.329979879,0.46537033,0.795350209
49,Adam Loewen,1988,2011,14,32,6,1,0,1,3,13,4,4,0,0,0.1875,0.257142857,0.3125,0.569642857
50,Adam Melhuse,1978,2008,311,735,172,40,1,24,57,193,98,76,1,2,0.234013605,0.289141414,0.389115646,0.67825706
51,Adam Moore,1987,2018,104,292,58,12,0,7,13,95,23,21,2,1,0.198630137,0.232786885,0.311643836,0.544430721
52,Adam Piatt,1977,2003,212,521,129,31,6,16,57,149,65,62,3,4,0.247600768,0.321799308,0.422264875,0.744064183
53,Adam Riggs,1978,2004,61,153,33,9,1,3,16,30,10,18,6,2,0.215686275,0.289940828,0.346405229,0.636346057
54,Adam Rosales,1985,2018,653,1621,367,69,6,48,135,451,179,186,17,12,0.226403455,0.285876993,0.365206663,0.651083656
55,Adam Stern,1984,2010,54,43,5,1,0,1,0,10,7,7,2,1,0.11627907,0.11627907,0.209302326,0.325581395
56,Adam Young,1918,1941,16,39,3,0,0,0,8,2,1,2,0,0,0.076923077,0.234042553,0.076923077,0.31096563
57,Addison Barger,2001,2024,69,208,41,11,0,7,14,60,28,20,2,0,0.197115385,0.247747748,0.350961538,0.598709286
58,Addison Russell,1992,2019,615,1987,480,100,9,60,186,532,253,256,17,5,0.241570206,0.306488725,0.391545043,0.698033768
59,Adeiny Hechavarr챠a,1989,2020,922,3071,778,116,36,37,163,550,273,311,35,19,0.253337675,0.290970934,0.350700098,0.641671032
60,Adley Rutschman,1999,2024,415,1557,407,87,3,52,215,290,201,222,6,2,0.261400128,0.351015801,0.421323057,0.772338859
61,Admiral Schlei,1881,1911,640,1918,455,52,21,6,172,235,209,195,38,18,0.237226277,0.3,0.295620438,0.595620438
62,Adolfo Phillips,1942,1972,649,1875,463,86,21,59,251,485,173,270,82,44,0.246933333,0.335841957,0.4096,0.745441957
63,Adolis Garc챠a,1996,2024,631,2344,560,117,7,122,183,740,384,344,61,17,0.23890785,0.294024535,0.450938567,0.744963102
64,Adonis Garc챠a,1992,2017,244,896,239,45,0,29,36,151,110,104,7,2,0.266741071,0.295064378,0.4140625,0.709126878
65,Adonis Terry,1865,1890,256,979,249,24,22,8,66,109,144,142,65,7,0.254341164,0.301435407,0.348314607,0.649750013
66,Adrian Beltr�?1975,2018,2933,11068,3166,636,38,477,848,1732,1707,1524,121,42,0.286049874,0.336858006,0.479671124,0.81652913,
67,Adrian Brown,1975,2006,447,1134,293,44,8,11,109,161,86,166,45,15,0.258377425,0.323411102,0.340388007,0.663799109
68,Adrian Cardenas,1989,2012,45,60,11,6,0,0,7,13,2,5,0,0,0.183333333,0.268656716,0.283333333,0.55199005
69,Adrian Del Castillo,2001,2024,25,80,25,5,0,4,7,28,19,12,1,1,0.3125,0.367816092,0.525,0.892816092
70,Adrian Garrett,1946,1976,163,276,51,8,0,11,31,87,37,30,4,0,0.184782609,0.267100977,0.333333333,0.600434311
71,Adrian Nieto,1991,2014,48,106,25,5,0,2,8,38,7,8,0,1,0.235849057,0.289473684,0.339622642,0.629096326
72,Adri찼n Gonz찼lez,1981,2018,1929,7139,2050,437,12,317,782,1401,1202,997,6,7,0.287155064,0.357530615,0.484941869,0.842472483
73,Adri찼n Sanchez,1995,2021,106,195,51,11,1,0,6,47,16,22,0,2,0.261538462,0.28358209,0.328205128,0.611787218
74,Adron Chambers,1988,2013,84,88,19,1,3,0,8,30,9,11,2,2,0.215909091,0.28125,0.295454545,0.576704545
75,Agustin Bejerano,1905,1929,47,185,54,6,1,1,11,38,25,29,3,5,0.291891892,0.331632653,0.351351351,0.682984004
76,Agustin Parpetti,1899,1923,25,73,20,1,0,1,4,37,14,8,4,5,0.273972603,0.311688312,0.328767123,0.640455435
77,Akil Baddoo,1998,2024,340,999,226,38,12,28,119,302,103,137,42,13,0.226226226,0.308586762,0.372372372,0.680959134
78,Akinori Iwamura,1984,2010,408,1545,413,74,22,16,183,330,117,222,32,16,0.267313916,0.344907407,0.374757282,0.719664689
79,Al Baird,1895,1919,50,107,27,1,0,0,7,11,9,9,5,5,0.252336449,0.298245614,0.261682243,0.559927857
80,Al Bool,1906,1931,129,308,73,13,4,7,34,42,53,35,0,5,0.237012987,0.312865497,0.373376623,0.68624212
81,Al Boucher,1891,1914,147,516,119,26,4,2,52,88,49,62,13,2,0.230620155,0.301056338,0.308139535,0.609195873
82,Al Brancato,1919,1945,282,930,199,37,11,4,96,92,80,117,5,6,0.213978495,0.287524366,0.290322581,0.577846947
83,Al Bridwell,1882,1915,1253,4169,1064,95,32,2,557,285,348,457,136,25,0.255217078,0.342996191,0.294794915,0.637791106
84,Al Bumbry,1949,1985,1496,5053,1422,220,52,54,471,709,402,778,254,92,0.28141698,0.342686459,0.377597467,0.720283926
85,Al Burch,1883,1911,614,2185,554,48,20,4,186,202,103,254,96,14,0.253546911,0.312104597,0.299313501,0.611418098
86,Al Chambers,1960,1985,57,120,25,4,0,2,21,34,11,15,2,2,0.208333333,0.326241135,0.291666667,0.617907801
87,Al Cihocki,1922,1945,92,283,60,9,3,0,11,48,24,21,2,1,0.212014134,0.241496599,0.265017668,0.506514266
88,Al Cowens,1951,1986,1584,5534,1494,276,68,108,389,659,717,704,120,75,0.269967474,0.31791322,0.402963498,0.720876718
89,Al Cuccinello,1912,1935,54,165,41,7,1,4,1,20,20,27,0,2,0.248484848,0.253012048,0.375757576,0.628769624
90,Al Dwight,1861,1884,12,43,10,2,0,0,2,37,31,8,6,2,0.23255814,0.266666667,0.279069767,0.545736434
91,Al Evans,1917,1951,704,2053,514,70,23,13,243,206,211,188,14,9,0.250365319,0.329703833,0.325864588,0.655568421
92,Al Federoff,1928,1952,76,235,56,4,2,0,16,13,14,14,1,0,0.238297872,0.28685259,0.272340426,0.559193015
93,Al Ferrara,1941,1971,574,1382,358,60,7,51,156,286,198,148,0,1,0.259044863,0.33420026,0.423299566,0.757499826
94,Al Flair,1918,1941,10,30,6,2,1,0,1,1,2,3,1,1,0.2,0.225806452,0.333333333,0.559139785
95,Al Frazier,1915,1940,64,216,54,8,0,0,18,2,25,30,2,5,0.25,0.307692308,0.287037037,0.594729345
96,Al Gallagher,1947,1973,442,1264,333,42,9,11,138,164,130,114,7,6,0.263449367,0.335948645,0.337025316,0.672973961
97,Al Gionfriddo,1921,1947,228,580,154,22,12,2,91,39,58,95,15,9,0.265517241,0.365126677,0.355172414,0.72029909
98,Al Glossop,1919,1946,309,952,199,29,2,15,89,105,86,99,5,11,0.209033613,0.276657061,0.290966387,0.567623447
99,Al Greene,1956,1979,29,59,8,1,0,3,10,15,6,9,0,1,0.13559322,0.260869565,0.305084746,0.565954311
100,Al Hall,1856,1880,70,314,80,7,3,0,3,13,14,31,11,5,0.25477707,0.261829653,0.296178344,0.558007997
101,Al Halt,1893,1918,257,854,204,30,9,6,61,130,90,76,35,7,0.238875878,0.289617486,0.316159251,0.605776737
102,Al Heist,1937,1962,177,495,126,20,6,8,52,72,46,63,6,4,0.254545455,0.325411335,0.367676768,0.693088102
103,Al Hermann,1900,1924,32,94,22,4,0,0,0,8,11,2,3,2,0.234042553,0.234042553,0.276595745,0.510638298
104,Al Kaiser,1889,1914,155,481,104,15,7,3,34,82,38,58,16,7,0.216216216,0.267961165,0.295218295,0.56317946
105,Al Kaline,1930,1974,2834,10116,3007,498,75,399,1277,1020,1583,1622,137,65,0.297251878,0.376020363,0.47963622,0.855656583
106,Al Kozar,1925,1950,285,992,252,41,10,6,96,86,94,118,6,3,0.254032258,0.319852941,0.333669355,0.653522296
107,Al Lakeman,1923,1954,239,646,131,17,5,15,36,137,66,40,0,18,0.202786378,0.244868035,0.314241486,0.559109521
108,Al Libke,1922,1946,254,880,236,45,6,9,77,112,95,73,6,5,0.268181818,0.327063741,0.363636364,0.690700104
109,Al Lopez,1906,1947,1950,5916,1547,206,43,51,556,538,652,613,46,42,0.261494253,0.324938195,0.336713996,0.661652191
110,Al Luplow,1938,1967,481,1243,292,34,6,33,127,213,125,147,8,11,0.234915527,0.305839416,0.351568785,0.657408201
111,Al Martin,1970,2003,1232,4242,1172,220,48,132,390,879,485,664,173,65,0.276284771,0.337219344,0.444130127,0.781349471
112,Al Maul,1865,1891,205,721,170,19,16,5,85,124,93,88,36,9,0.235783634,0.316377171,0.327323162,0.643700333
113,Al McCauley,1867,1891,171,624,160,30,15,2,87,51,73,99,17,5,0.256410256,0.347398031,0.362179487,0.709577518
114,Al Montgomery,1918,1941,42,52,10,1,0,0,9,8,4,4,0,2,0.192307692,0.31147541,0.211538462,0.523013871
115,Al Moore,1902,1926,30,89,19,4,0,0,6,9,10,12,2,3,0.213483146,0.263157895,0.258426966,0.521584861
116,Al Moran,1940,1964,135,353,69,5,2,1,38,62,27,28,3,7,0.195467422,0.273657289,0.229461756,0.503119045
117,Al Myers,1861,1891,833,3222,788,135,34,13,294,300,390,429,122,18,0.244568591,0.307736064,0.319677219,0.627413283
118,Al Newman,1962,1992,854,2107,476,68,7,1,236,212,156,264,91,55,0.225913621,0.30388391,0.266255339,0.570139249
119,Al Nichols,1853,1877,63,231,42,4,1,0,2,5,9,21,11,5,0.181818182,0.188841202,0.207792208,0.39663341
120,Al Niehaus,1902,1925,68,211,58,18,2,0,14,15,21,23,1,4,0.274881517,0.32,0.379146919,0.699146919
121,Al Niemiec,1912,1936,78,235,47,3,2,1,29,20,23,24,2,2,0.2,0.287878788,0.242553191,0.530431979
122,Al Nixon,1897,1928,422,1345,372,60,13,7,66,77,118,180,19,23,0.276579926,0.310418143,0.356133829,0.666551972
123,Al Oliver,1945,1985,2368,9049,2743,529,77,219,535,756,1326,1189,84,64,0.303127417,0.342028381,0.451210078,0.793238459
124,Al Orth,1886,1909,23,34,9,0,1,0,5,37,5,3,1,2,0.264705882,0.358974359,0.323529412,0.682503771
125,Al Pardo,1963,1989,53,129,17,2,0,1,3,31,4,6,0,0,0.131782946,0.151515152,0.170542636,0.322057787
126,Al Pedrique,1964,1989,174,449,111,18,1,1,29,61,36,32,5,4,0.247216036,0.292887029,0.29844098,0.591328009
127,Al Pilarcik,1933,1961,668,1614,413,66,7,22,185,150,143,205,41,18,0.255885998,0.332406893,0.346344486,0.678751378
128,Al Rosen,1924,1956,1044,3725,1063,165,20,192,587,385,717,603,39,33,0.285369128,0.382653061,0.495033557,0.877686618
129,Al Rubeling,1918,1944,253,747,186,31,12,8,77,95,79,94,8,10,0.248995984,0.319174757,0.354752343,0.6739271
130,Al Sauter,1867,1890,14,41,4,0,0,0,11,37,0,1,0,2,0.097560976,0.288461538,0.097560976,0.386022514
131,Al Scheer,1890,1915,281,931,262,48,20,5,116,81,105,141,41,7,0.28141783,0.361031519,0.392051557,0.753083076
132,Al Schellhase,1867,1891,16,49,7,0,0,0,2,12,2,5,3,5,0.142857143,0.176470588,0.142857143,0.319327731
133,Al Schweitzer,1885,1911,284,874,208,28,8,3,104,150,87,97,47,9,0.23798627,0.319018405,0.298627002,0.617645407
134,Al Shaw,1887,1915,654,2006,526,83,31,15,208,366,202,266,70,21,0.26221336,0.331526649,0.356929212,0.688455861
135,Al Simmons,1902,1944,2215,8759,2927,539,149,307,615,737,1827,1507,88,66,0.334170567,0.377853638,0.534878411,0.912732048
136,Al Smith,1927,1964,1557,5499,1500,263,51,168,687,806,701,866,70,48,0.272776869,0.353540252,0.430805601,0.784345853
137,Al Spalding,1854,1878,61,258,67,7,6,0,3,16,35,29,11,5,0.259689922,0.268199234,0.333333333,0.601532567
138,Al Spangler,1936,1971,912,2267,594,87,26,21,295,234,175,307,37,32,0.262020291,0.346994536,0.351124835,0.69811937
139,Al Spohrer,1905,1935,757,2218,575,103,25,6,124,166,199,213,13,18,0.259242561,0.298462852,0.336339044,0.634801896
140,Al Stokes,1902,1926,47,138,25,3,4,0,12,36,7,14,0,0,0.18115942,0.246666667,0.260869565,0.507536232
141,Al Todd,1910,1943,863,2785,768,119,29,35,104,243,366,286,18,25,0.275763016,0.301834545,0.377019749,0.678854293
142,Al Unser,1919,1945,120,338,85,15,4,4,32,43,30,41,0,3,0.25147929,0.316216216,0.355029586,0.671245802
143,Al Vancamp,1907,1932,140,444,116,20,6,0,24,42,41,44,4,2,0.261261261,0.299145299,0.333333333,0.632478632
144,Al Weis,1939,1971,800,1578,346,45,11,7,117,299,115,195,55,22,0.219264892,0.273156342,0.275031686,0.548188028
145,Al Wickland,1892,1919,445,1468,397,58,38,12,207,184,144,212,58,11,0.270435967,0.360597015,0.386239782,0.746836797
146,Al Wingo,1900,1928,493,1326,409,87,19,9,211,119,191,224,23,24,0.308446456,0.403383214,0.423076923,0.826460137
147,Al Woods,1957,1986,618,1986,538,98,14,35,167,180,196,233,23,24,0.270896274,0.32745007,0.387210473,0.714660543
148,Al Yates,1948,1971,24,47,13,2,0,1,3,7,4,5,1,0,0.276595745,0.32,0.382978723,0.702978723
149,Al Zarilla,1921,1953,1120,3535,975,186,43,61,415,382,456,507,33,33,0.275813296,0.351898734,0.404526167,0.756424901
150,Alan Ashby,1950,1989,1370,4123,1010,183,13,90,461,622,513,397,7,10,0.244967257,0.320898778,0.361144797,0.682043576
151,Alan Bannister,1951,1985,972,3007,811,143,28,19,292,318,288,430,108,37,0.269704024,0.334343741,0.35483871,0.68918245
152,Alan Knicely,1956,1986,228,521,111,17,0,12,68,128,61,48,1,4,0.213051823,0.303904924,0.314779271,0.618684194
153,Alan Storke,1883,1909,266,863,225,22,11,2,45,150,74,68,17,9,0.260718424,0.297356828,0.318655852,0.61601268
154,Alan Strange,1915,1942,314,947,211,39,7,1,109,54,89,93,6,3,0.22280887,0.303030303,0.281942978,0.584973281
155,Alan Trammell,1954,1996,2293,8288,2365,412,55,185,850,874,1003,1231,236,109,0.285352317,0.351827533,0.415299228,0.767126761
156,Alan Trejo,1998,2024,174,434,99,19,0,9,26,112,47,50,6,3,0.228110599,0.27173913,0.334101382,0.605840513
157,Alan Wiggins,1958,1987,631,2247,581,61,19,5,235,193,118,346,242,68,0.258566978,0.328767123,0.309301291,0.638068414
158,Alan Zinter,1980,2004,67,78,13,4,0,3,5,34,9,7,0,0,0.166666667,0.21686747,0.333333333,0.550200803
159,Albert Almora,1993,2022,600,1491,386,76,5,33,86,290,163,189,7,6,0.258886653,0.299302473,0.382964453,0.682266926
160,Albert Belle,1966,2000,1539,5853,1726,389,21,381,683,961,1239,974,88,41,0.294891509,0.368574051,0.563813429,0.93238748
161,Albert DeVormer,1900,1927,196,477,123,20,5,2,20,46,57,50,7,5,0.257861635,0.287726358,0.333333333,0.621059691
162,Albert Hall,1958,1989,375,805,202,37,8,5,89,115,53,125,67,29,0.250931677,0.325503356,0.335403727,0.660907082
163,Albert Pujols,1978,2022,3080,11421,3384,686,16,703,1373,1404,2218,1914,117,43,0.296296296,0.371814913,0.543822783,0.915637696
164,Alberto Callaspo,1983,2015,1093,3556,941,170,14,52,350,365,369,391,22,14,0.264623172,0.330517153,0.364173228,0.694690381
165,Alberto Castillo,1973,2007,418,1026,226,39,2,12,103,219,101,98,3,6,0.220272904,0.291408326,0.297270955,0.588679281
166,Alberto Gonzalez,1984,2013,426,950,227,46,7,4,45,130,91,97,2,5,0.238947368,0.273366834,0.314736842,0.588103676
167,Alberto Hernandez,1918,1941,27,102,26,7,0,0,5,0,9,11,1,0,0.254901961,0.289719626,0.323529412,0.613249038
168,Alberto Rosario,1993,2017,23,41,7,2,0,0,2,6,2,3,0,0,0.170731707,0.209302326,0.219512195,0.428814521
169,Albie Pearson,1935,1966,988,3077,831,130,24,28,477,195,214,485,77,33,0.270068248,0.368036016,0.35521612,0.723252135
170,Alcides Escobar,1987,2022,1554,5750,1486,249,58,45,253,864,478,670,178,45,0.258434783,0.289688489,0.345391304,0.635079793
171,Alec Bohm,1997,2024,599,2238,620,125,5,59,160,437,336,285,16,7,0.277033065,0.325271059,0.416443253,0.741714312
172,Alec Burleson,1999,2024,275,910,233,41,1,30,63,130,117,109,13,5,0.256043956,0.304213772,0.402197802,0.706411574
173,Aleck Smith,1875,1906,286,955,252,30,11,1,26,336,130,107,37,21,0.263874346,0.283384302,0.321465969,0.60485027
174,Aledmys D챠az,1993,2024,705,2327,602,140,5,78,156,394,294,291,15,11,0.258702192,0.305275876,0.42372153,0.728997406
175,Alejandro Crespo,1922,1946,57,225,69,11,5,5,18,1,39,40,2,2,0.306666667,0.358024691,0.466666667,0.824691358
176,Alejandro De Aza,1985,2017,838,2575,669,131,33,51,225,622,258,367,91,44,0.259805825,0.319285714,0.395728155,0.71501387
177,Alejandro Freire,1982,2005,25,65,16,3,0,1,6,17,4,7,0,0,0.246153846,0.309859155,0.338461538,0.648320693
178,Alejandro Kirk,1997,2024,434,1371,362,64,1,36,160,180,187,139,0,0,0.264040846,0.340953625,0.390955507,0.731909132
179,Alejandro Oms,1906,1935,275,1036,341,69,18,31,128,191,215,206,32,16,0.329150579,0.402920962,0.52027027,0.923191232
180,Alejandro Sanchez,1959,1987,109,214,49,7,3,8,1,66,21,28,4,5,0.228971963,0.23255814,0.401869159,0.634427298
181,Alejo Lopez,1998,2023,76,170,45,6,1,1,9,27,11,19,3,1,0.264705882,0.301675978,0.329411765,0.631087742
182,Alek Thomas,1999,2024,277,850,192,39,7,20,48,177,95,109,17,5,0.225882353,0.267260579,0.358823529,0.626084108
183,Alen Hanson,1993,2019,261,585,136,27,8,12,26,145,55,82,21,7,0.232478632,0.265139116,0.367521368,0.632660484
184,Alex Arias,1969,2002,775,1773,470,84,6,18,181,211,196,203,10,5,0.265087422,0.333162743,0.349689791,0.682852534
185,Alex Avila,1986,2021,1052,3060,714,155,9,105,528,1068,397,352,8,8,0.233333333,0.346153846,0.392810458,0.738964304
186,Alex Blandino,1996,2021,135,234,53,9,0,2,31,83,16,29,1,0,0.226495726,0.316981132,0.290598291,0.607579423
187,Alex Bregman,1993,2024,1111,4157,1132,265,18,191,576,646,663,694,42,14,0.272311763,0.360870484,0.482559538,0.843430022
188,Alex Cabrera,1977,2000,31,80,21,2,1,5,4,21,14,10,0,0,0.2625,0.297619048,0.5,0.797619048
189,Alex Call,1999,2024,205,588,136,26,2,16,80,127,65,76,17,12,0.231292517,0.323353293,0.363945578,0.687298872
190,Alex Castellanos,1989,2013,24,41,7,1,1,2,0,13,4,5,0,0,0.170731707,0.170731707,0.390243902,0.56097561
191,Alex Cintron,1978,2009,680,2056,565,104,21,33,112,230,222,244,18,14,0.274805447,0.312269373,0.393968872,0.706238244
192,Alex Clark,1908,1931,12,40,6,0,0,1,2,37,3,3,1,2,0.15,0.19047619,0.225,0.41547619
193,Alex Cole,1967,1996,573,1760,493,58,26,5,217,296,117,286,148,59,0.280113636,0.359129995,0.351136364,0.710266359
194,Alex Cora,1975,2011,1273,3408,828,140,39,35,248,423,286,360,47,21,0.242957746,0.294310722,0.337734742,0.632045464
195,Alex Crumbley,1914,1938,13,48,14,1,1,1,3,75,6,8,1,5,0.291666667,0.333333333,0.416666667,0.75
196,Alex D. Mejia,1994,2017,29,46,5,0,0,1,2,13,3,6,0,0,0.108695652,0.145833333,0.173913043,0.319746377
197,Alex Diaz,1969,1999,366,816,195,31,7,8,33,107,75,102,41,25,0.238970588,0.268551237,0.323529412,0.592080649
198,Alex Dickerson,1994,2022,339,902,230,49,8,40,81,204,132,136,7,2,0.254988914,0.316378433,0.460088692,0.776467125
199,Alex Escobar,1980,2006,125,388,100,14,4,13,41,112,52,53,5,1,0.257731959,0.328671329,0.414948454,0.743619782
200,Alex Farmer,1885,1908,12,30,5,1,0,0,1,37,2,1,0,2,0.166666667,0.193548387,0.2,0.393548387
201,Alex Gaston,1901,1929,215,514,112,13,6,3,29,56,40,58,5,0,0.217898833,0.259668508,0.284046693,0.543715201
202,Alex Gonzalez,1972,2014,3005,10753,2627,606,58,294,692,2333,1226,1290,127,70,0.244303915,0.289995631,0.393471589,0.683467221
203,Alex Gordon,1984,2020,1753,6391,1643,357,26,190,684,1535,749,867,113,45,0.257080269,0.328904594,0.410264434,0.739169028
204,Alex Grammas,1931,1963,913,2073,512,90,10,12,206,193,163,236,17,14,0.246985046,0.315050461,0.317414375,0.632464836
205,Alex Guerrero,1991,2015,117,232,52,9,1,11,7,63,36,25,1,0,0.224137931,0.246861925,0.413793103,0.660655028
206,Alex Herman,1909,1932,22,66,17,1,1,1,2,37,8,11,5,2,0.257575758,0.279411765,0.348484848,0.627896613
207,Alex Hernandez,1977,2001,27,71,13,3,0,1,0,15,5,4,1,1,0.183098592,0.183098592,0.267605634,0.450704225
208,Alex Hooks,1912,1935,15,44,10,3,0,0,3,10,4,4,0,0,0.227272727,0.276595745,0.295454545,0.57205029
209,Alex Jackson,1997,2024,124,302,40,12,0,6,26,142,24,30,1,0,0.132450331,0.201219512,0.231788079,0.433007592
