full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
박현수,1972,1992,39,46,9,2,1,0,4,18,2,4,0,0,0.196,0.26,0.283,0.543
박현승,1972,2008,1167,3634,962,167,18,62,414,644,399,503,98,43,0.265,0.34,0.372,0.712
박현영,1968,1998,524,1060,248,38,7,22,49,210,121,100,8,4,0.234,0.268,0.345,0.613
박흥식,1962,1993,660,2024,519,65,25,12,261,218,189,252,73,45,0.256,0.341,0.331,0.672
반슬라이크,1986,2018,12,39,5,1,0,1,4,6,4,1,0,0,0.128,0.209,0.231,0.44
반즈,1986,2020,74,283,75,17,1,9,27,81,42,38,2,1,0.265,0.329,0.428,0.757
발데스,1973,2007,116,435,123,15,0,13,70,49,72,50,4,1,0.283,0.382,0.407,0.789
발데스,1978,2008,47,156,34,9,1,1,9,19,16,17,13,4,0.218,0.261,0.308,0.568
발디리스,1983,2016,44,154,41,6,0,8,31,17,33,24,0,0,0.266,0.389,0.461,0.85
방진호,1977,2002,39,37,4,0,0,0,2,10,0,5,0,0,0.108,0.154,0.108,0.262
배대웅,1954,1986,356,822,213,32,3,11,72,52,83,85,24,7,0.259,0.319,0.345,0.664
배성근,1995,2022,140,183,33,6,0,1,20,63,11,28,2,1,0.18,0.261,0.23,0.491
배스,1974,2000,15,59,16,4,0,3,9,22,13,13,3,1,0.271,0.368,0.492,0.859
배영섭,1986,2019,633,1944,534,83,7,16,225,324,169,300,94,32,0.275,0.35,0.349,0.699
배정훈,1973,1998,93,162,34,5,0,2,7,38,10,11,1,1,0.21,0.243,0.278,0.52
백동훈,1990,2021,143,119,19,5,0,1,11,42,6,30,4,4,0.16,0.231,0.227,0.458
백상원,1988,2018,252,600,162,25,3,3,72,106,63,83,8,3,0.27,0.348,0.337,0.685
백성진,1968,1997,127,239,59,8,1,1,17,58,23,21,10,9,0.247,0.297,0.301,0.598
백승룡,1982,2013,159,207,34,7,0,0,28,64,9,28,6,3,0.164,0.264,0.198,0.462
백승민,1990,2021,44,85,18,3,0,0,4,25,10,7,0,0,0.212,0.247,0.247,0.494
백승현,1995,2024,59,90,19,3,0,0,9,27,4,9,1,1,0.211,0.283,0.244,0.527
백용환,1989,2022,390,752,153,28,0,29,90,231,83,81,5,3,0.203,0.289,0.356,0.645
백인수,1963,1999,953,2853,743,111,15,40,287,311,270,329,82,43,0.26,0.328,0.352,0.68
백인천,1943,1984,116,403,135,31,2,23,56,29,91,67,13,3,0.335,0.416,0.593,1.009
백재호,1974,2007,1007,2571,631,130,6,68,272,481,306,278,19,13,0.245,0.318,0.38,0.698
백진우,1988,2019,259,478,120,36,2,9,46,110,55,70,5,5,0.251,0.317,0.391,0.708
버나디나,1984,2018,270,1070,337,51,11,47,104,215,181,224,64,20,0.315,0.376,0.515,0.891
번즈,1990,2018,249,885,252,72,5,38,62,233,121,151,15,9,0.285,0.332,0.506,0.838
베로아,1965,2002,11,31,3,1,0,1,3,15,3,1,0,0,0.097,0.176,0.226,0.402
베탄코트,1991,2019,53,203,50,8,0,8,18,51,29,23,1,1,0.246,0.308,0.404,0.712
보어,1988,2021,32,100,17,2,0,3,11,30,17,7,0,0,0.17,0.252,0.28,0.532
부시,1968,1998,76,240,51,11,1,10,16,81,28,20,0,0,0.212,0.262,0.392,0.653
브라운,1984,2015,137,464,121,21,2,28,66,127,76,82,5,2,0.261,0.353,0.496,0.849
브래디,1969,1998,70,155,40,6,4,3,6,30,6,18,4,1,0.258,0.286,0.406,0.692
브룸바,1974,2009,553,1971,590,94,3,116,385,382,390,320,16,18,0.299,0.414,0.527,0.94
브리또,1972,2005,635,2343,683,131,5,112,199,352,391,347,13,12,0.292,0.347,0.495,0.842
브릭스,1971,1999,115,361,102,14,6,23,13,85,74,48,6,3,0.283,0.307,0.546,0.853
브링클리,1968,2000,27,91,19,1,0,3,6,25,14,9,2,0,0.209,0.258,0.319,0.576
산토스,1966,2001,130,484,150,19,0,26,46,66,107,74,1,0,0.31,0.37,0.51,0.88
살라디노,1989,2020,44,132,37,8,0,6,23,41,27,26,6,1,0.28,0.387,0.477,0.864
샌더스,1969,1999,125,409,101,14,0,40,105,133,94,86,3,0,0.247,0.401,0.575,0.975
샌즈,1987,2019,164,611,187,40,2,40,83,128,150,117,1,3,0.306,0.389,0.574,0.964
서동욱,1984,2018,849,1974,500,98,10,47,235,592,233,273,26,13,0.253,0.333,0.384,0.717
서동욱,2000,2024,46,43,5,2,0,0,3,13,0,4,0,0,0.116,0.174,0.163,0.337
서브넥,1976,2006,40,143,32,3,1,4,6,17,15,14,2,1,0.224,0.255,0.343,0.598
서상우,1989,2019,194,382,108,14,0,13,52,107,51,63,7,2,0.283,0.369,0.421,0.79
